set N := 1 2 3 4 5 6 7 8 ;
set C := 1 2 3 4 5 6 ;
set K[1] := 1 2 3 ;
set K[2] := 1 2 3 ;
set K[3] := 1 2 3 ;
set K[4] := 1 2 3 ;
set K[5] := 1 2 ;
set K[6] := 1 2 ;
set o := o1 o2 o3 o4 o5 o6 ;

param Q := 150;

param dist:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8 :=
o1          0    55.56    44.98    68.42    52.48    65.03     88.3    45.54     37.8    14.39    10.73    13.03    38.03    39.06 
o2      55.56        0    74.36   109.31     8.11    55.08   123.16    63.66    89.61    41.96    62.31    66.81    41.86    90.51 
o3      44.98    74.36        0    36.03    67.21    42.97    49.07    13.75    36.87    51.96    53.69     52.5    33.03    36.42 
o4      68.42   109.31    36.03        0   102.55    76.31     22.3    49.27    36.95    79.95    73.09    69.68    68.84    35.48 
o5      52.48     8.11    67.21   102.55        0    47.07   115.78    56.08    84.68    39.83    60.28    64.49    34.39    85.49 
o6      65.03    55.08    42.97    76.31    47.07        0     81.7    29.64    76.99    61.64    75.75    77.39    27.32    76.96 
1        88.3   123.16    49.07     22.3   115.78     81.7        0    59.84    59.15    98.56    94.01    90.94    81.39     57.7 
2       45.54    63.66    13.75    49.27    56.08    29.64    59.84        0    47.91    48.66    55.62    55.68    21.82    47.75 
3        37.8    89.61    36.87    36.95    84.68    76.99    59.15    47.91        0    51.74       39    34.76    57.21     1.51 
4       14.39    41.96    51.96    79.95    39.83    61.64    98.56    48.66    51.74        0    20.47    24.86    34.58    52.93 
5       10.73    62.31    53.69    73.09    60.28    75.75    94.01    55.62       39    20.47        0     5.01     48.7    40.44 
6       13.03    66.81     52.5    69.68    64.49    77.39    90.94    55.68    34.76    24.86     5.01        0    50.71    36.23 
7       38.03    41.86    33.03    68.84    34.39    27.32    81.39    21.82    57.21    34.58     48.7    50.71        0    57.62 
8       39.06    90.51    36.42    35.48    85.49    76.96     57.7    47.75     1.51    52.93    40.44    36.23    57.62        0 
;

param trav_time:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8 :=
o1          0    81.93    55.15       60    74.46    92.93    83.97    47.01    41.48    19.25    11.41    19.34    40.36    43.24 
o2      70.27        0    87.28   130.74    10.64    46.58   110.25    72.66    99.58    62.93     51.2    79.04    47.57     74.1 
o3      62.18    90.75        0    29.63     97.6    61.99    69.98    16.14    47.33    46.79    67.68    57.35    36.11    41.55 
o4      98.31    148.9    50.71        0    83.92    75.13    28.69    43.23    33.54   117.27    96.71    90.25    86.04    52.76 
o5      56.88     9.06    64.17    95.37        0    54.92   170.02    70.38    71.09    48.21    82.95    87.52    48.49    98.71 
o6      84.53    70.88    41.49    83.95    47.27        0    95.45    35.24     91.8     74.2    96.92    88.36    32.94    79.93 
1       87.96   159.44     46.4    19.74   109.14    68.94        0    77.89    63.82   116.95   131.61   101.37     77.1    55.29 
2       59.33    94.27    16.63    73.03    71.83    43.53    85.31        0    50.71    54.99    57.53    62.38    22.39    62.37 
3       43.07    75.26    31.75    41.83   106.25    78.55    69.63    71.69        0     64.9    55.96    31.34    58.67     1.22 
4       15.19    58.89    56.16    88.54    34.42    50.26   129.57    39.13    69.54        0    24.82    36.69    42.41    49.11 
5       14.34    51.96     69.3    74.43    86.76    89.07    79.47    62.66    49.92    28.99        0     5.46    65.34    45.21 
6       11.68    65.79     59.3    91.76    56.26    88.15   104.99    53.55    33.76    23.17     4.41        0    69.88    41.66 
7       54.45    35.46    31.81    84.52     28.4    26.67    113.3    22.57     46.6    39.36    64.17    44.49        0     86.4 
8       49.49    88.04    36.49    33.08    88.92    70.75    71.92    61.16     1.92    62.37    51.15    31.93    79.42        0 
;

param d:       1    2    3    4    5    6 :=
1       0    0    0   14    0    0 
2       0    8    0    0    0    0 
3       5    0    0    0    0    0 
4       0    0    0    9    0    0 
5       0    0    0    0    8    0 
6      18    5   12    0    0    8 
7       0   10    0    0    0    5 
8      10   10    0    5    0   19 
;
