set N := 1 2 3 4 5 6 7 8 ;
set C := 1 2 3 4 5 6 ;
set K[1] := 1 ;
set K[2] := 1 2 ;
set K[3] := 1 2 ;
set K[4] := 1 ;
set K[5] := 1 2 3 ;
set K[6] := 1 ;
set o := o1 o2 o3 o4 o5 o6 ;

param Q := 150;

param dist:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8 :=
o1          0    58.89    63.99    92.73    70.14    67.28     53.2    14.36    63.56    60.78    24.88    61.82    66.59    10.26 
o2      58.89        0    90.11    92.63    98.65    84.79     6.38    71.92    23.47   103.88    73.28    28.44    33.56     50.8 
o3      63.99    90.11        0    41.94     8.59    11.98    88.19    57.73    75.49    28.48     41.9    69.58    69.24    70.91 
o4      92.73    92.63    41.94        0    45.08    30.95    93.63    91.61    70.83    70.08    77.03    64.89     61.1    96.11 
o5      70.14    98.65     8.59    45.08        0    18.39    96.66    62.58    84.02    25.67    46.84    78.09    77.64    77.65 
o6      67.28    84.79    11.98    30.95    18.39        0    83.65    63.39    67.95    40.36    47.96    61.85    60.71    72.81 
1        53.2     6.38    88.19    93.63    96.66    83.65        0    66.52    26.88   100.43    68.77    30.98    36.55    44.81 
2       14.36    71.92    57.73    91.61    62.58    63.39    66.52        0    73.74     49.2    15.83    71.09    75.24    24.57 
3       63.56    23.47    75.49    70.83    84.02    67.95    26.88    73.74        0    94.42    69.97      6.2    10.18    58.52 
4       60.78   103.88    28.48    70.08    25.67    40.36   100.43     49.2    94.42        0    36.03    89.19    90.34    70.23 
5       24.88    73.28     41.9    77.03    46.84    47.96    68.77    15.83    69.97    36.03        0    66.18    69.34    34.21 
6       61.82    28.44    69.58    64.89    78.09    61.85    30.98    71.09      6.2    89.19    66.18        0     5.92    57.71 
7       66.59    33.56    69.24     61.1    77.64    60.71    36.55    75.24    10.18    90.34    69.34     5.92        0    62.96 
8       10.26     50.8    70.91    96.11    77.65    72.81    44.81    24.57    58.52    70.23    34.21    57.71    62.96        0 
;

param trav_time:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8 :=
o1          0    69.32    85.54   125.01    96.96    90.33     59.9    16.67    66.97     51.7    28.25    76.65    98.01     9.25 
o2      80.43        0    95.12       91    80.43   119.73     6.34    78.98    19.25   125.07    96.31    25.95     32.5    48.86 
o3      73.29   111.48        0     34.4     7.23    15.96    98.89    58.47    90.03    36.33     54.6    68.44    93.46    66.06 
o4      87.78   113.86    51.59        0    61.41    44.78    121.3   128.23    61.43    77.98    76.17    91.74    84.05      141 
o5      69.54   130.61    10.13    51.47        0    23.87   120.45    71.72    88.67    34.95    54.45    99.06   116.24   113.09 
o6      60.28    101.6    13.98    26.68    14.99        0    110.1       52    80.54    41.23    66.37    71.98    73.06    94.28 
1       43.85     6.28    78.57   101.01   142.99   108.38        0    72.82    26.13   107.71    93.26     46.4    38.17    53.76 
2       14.66    59.46    48.96   105.19    73.65    53.23    71.62        0    68.88    53.48    14.98    96.81    84.28    28.88 
3       51.75    26.55    97.65     74.3   121.09    73.95    31.91    85.51        0    78.57    88.74     4.99     9.02    65.98 
4       49.76   148.93    30.05    63.31    22.62    57.83   108.16    41.05   112.92        0    36.15   106.79   122.15    83.88 
5       32.28    97.95    57.36    85.57     43.7     46.7    83.36    18.53    90.48    52.85        0    53.72    79.09    50.68 
6       65.36    34.26    58.71    66.79    74.27    58.37    28.86    62.76     6.32   113.58    68.05        0     6.19    65.15 
7        89.1    32.28    92.65    90.92    96.46    88.56    38.15    77.49     8.44   131.27   101.02     8.37        0    86.08 
8       13.26    64.69    75.69    82.68   110.22   104.24    37.74    24.91    55.84    76.54    50.41    61.41    85.77        0 
;

param d:       1    2    3    4    5    6 :=
1      18    0    0    0    0    0 
2       0    0    0   14    0    0 
3      15   13    0    0    0   18 
4       0    0    0    0    0   14 
5       0    0    6    0    0    0 
6       0   14    0    0    0    0 
7       0    5    0    0    0    0 
8       0    8    5   19    9    8 
;
