set N := 1 2 3 4 5 6 7 8 ;
set C := 1 2 3 4 5 6 ;
set K[1] := 1 ;
set K[2] := 1 ;
set K[3] := 1 ;
set K[4] := 1 2 ;
set K[5] := 1 2 3 ;
set K[6] := 1 2 ;
set o := o1 o2 o3 o4 o5 o6 ;

param Q := 150;

param dist:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8 :=
o1          0    92.31     15.2    68.03    63.96    30.81    50.78    72.28    20.08    43.86    28.57    83.32    71.47    46.56 
o2      92.31        0    88.01    83.47    80.16    65.16    51.14    81.89    76.31    80.77   100.42    79.83    62.26    61.35 
o3       15.2    88.01        0    53.04    74.18     34.9    54.05    57.42    11.79    54.89    16.99    68.76    58.28    34.75 
o4      68.03    83.47    53.04        0    113.7    71.59    81.76     5.13    51.03    98.36    48.64    17.66    22.28    31.89 
o5      63.96    80.16    74.18    113.7        0    42.61    35.17   115.97    67.57    20.25    90.88   122.71   104.42    82.16 
o6      30.81    65.16     34.9    71.59    42.61        0       20    74.24    25.88    27.13     51.8    82.11    65.12    40.82 
1       50.78    51.14    54.05    81.76    35.17       20        0    83.36    43.72    29.88    70.62    88.86    70.06    49.89 
2       72.28    81.89    57.42     5.13   115.97    74.24    83.36        0    54.73    101.2    53.63    12.54    19.79    33.83 
3       20.08    76.31    11.79    51.03    67.57    25.88    43.72    54.73        0    49.57    27.08     64.9    51.74    26.53 
4       43.86    80.77    54.89    98.36    20.25    27.13    29.88    101.2    49.57        0    71.29   109.24     92.1    67.93 
5       28.57   100.42    16.99    48.64    90.88     51.8    70.62    53.63    27.08    71.29        0    65.99    60.24    41.56 
6       83.32    79.83    68.76    17.66   122.71    82.11    88.86    12.54     64.9   109.24    65.99        0    19.41    41.33 
7       71.47    62.26    58.28    22.28   104.42    65.12    70.06    19.79    51.74     92.1    60.24    19.41        0    25.63 
8       46.56    61.35    34.75    31.89    82.16    40.82    49.89    33.83    26.53    67.93    41.56    41.33    25.63        0 
;

param trav_time:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8 :=
o1          0    81.97    16.13    91.56    62.08    36.02    58.33    76.11    25.12    42.32    23.81     70.6    81.71    49.86 
o2      110.3        0       74    77.67    99.26    92.56    56.28    75.13   113.41     68.4   143.52   118.61    55.89    65.35 
o3      21.41    84.44        0    50.13    88.62    32.95    57.63    73.47       11    81.76    20.03    66.33    54.22    35.98 
o4       99.6   100.94    42.78        0   104.11     72.1    99.83     5.55    58.71   114.49    53.45    15.93    19.56    32.25 
o5      90.83   119.29    96.69   142.09        0     52.8    34.56   117.74    55.45    24.91    79.83   152.42   102.16     80.2 
o6       32.2    72.62    33.83    70.07    48.29        0    28.01    93.41    37.59    35.93    74.34    66.54    58.69    40.04 
1       60.05     49.6    78.41    75.67    46.79    22.13        0   122.91    36.98    43.68    76.84   129.65    61.52    68.27 
2       89.54    69.31    83.15     6.85   100.11   104.27    73.07        0     52.8   110.31    58.71     18.8    18.73    29.36 
3       22.84    92.46    11.29    54.58    98.49    33.14    44.46    80.05        0    42.82    22.24    69.15    74.48    28.65 
4       36.14   114.87    73.35   112.73    28.55    31.64     40.2   105.43    49.29        0    86.65    94.94    104.7    74.91 
5       24.41   108.17    23.95    42.91   131.08    47.91    65.18    60.76    39.32    88.77        0    76.59    69.69     53.3 
6      114.86    78.51    92.03    21.97   125.38    108.1   111.43    16.78    86.12    91.96    96.82        0     18.1    43.17 
7       90.03    88.31    85.88    28.12   107.49    55.91    66.01    20.57    62.87   100.02    88.25     22.4        0    29.84 
8       50.37    58.11    28.54    25.96   118.17     55.3    63.09    47.85    33.26    73.92     60.2    44.18    30.36        0 
;

param d:       1    2    3    4    5    6 :=
1       0    0    0   15    0    0 
2       0    0    0    0   16    6 
3       0   16    0    0    0   11 
4       5    0    0    0    0    0 
5       0    0    0    0    0   16 
6       0    0   14    0   15   15 
7       0    0   11    0    0    8 
8       0    0    0    0    0    7 
;
