set N := 1 2 3 4 5 6 7 8 ;
set C := 1 2 3 4 5 6 ;
set K[1] := 1 2 ;
set K[2] := 1 ;
set K[3] := 1 2 ;
set K[4] := 1 ;
set K[5] := 1 2 3 ;
set K[6] := 1 2 3 ;
set o := o1 o2 o3 o4 o5 o6 ;

param Q := 150;

param dist:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8 :=
o1          0    31.07    51.79     43.2    26.75     89.3    59.62    58.13     80.9      111    46.83    75.28    56.51   100.04 
o2      31.07        0    32.47    29.06    28.23    58.61    28.94    29.19    50.92    79.98    45.68    57.43     26.8    78.68 
o3      51.79    32.47        0    60.51    28.64    62.84    41.14    47.76    39.88    73.61    27.66    25.14     23.7    48.44 
o4       43.2    29.06    60.51        0    54.66    59.38    35.37    28.09    65.79     86.1    74.07    84.66    46.64   103.26 
o5      26.75    28.23    28.64    54.66        0     81.7    53.66    56.28    65.16    98.16     21.1    49.64    42.68    75.09 
o6       89.3    58.61    62.84    59.38     81.7        0    29.71     32.6    29.57    27.78    89.92    72.88    40.11    75.96 
1       59.62    28.94    41.14    35.37    53.66    29.71        0     8.84    30.68    52.98    65.37    59.59    18.26    72.63 
2       58.13    29.19    47.76    28.09    56.28     32.6     8.84        0     39.1     58.3    70.19    67.67    26.15    81.42 
3        80.9    50.92    39.88    65.79    65.16    29.57    30.68     39.1        0    33.72     67.4    44.05    24.39    47.11 
4         111    79.98    73.61     86.1    98.16    27.78    52.98     58.3    33.72        0   101.08    74.25     55.8    67.57 
5       46.83    45.68    27.66    74.07     21.1    89.92    65.37    70.19     67.4   101.08        0    37.59    49.94    63.11 
6       75.28    57.43    25.14    84.66    49.64    72.88    59.59    67.67    44.05    74.25    37.59        0    41.52    25.82 
7       56.51     26.8     23.7    46.64    42.68    40.11    18.26    26.15    24.39     55.8    49.94    41.52        0    56.86 
8      100.04    78.68    48.44   103.26    75.09    75.96    72.63    81.42    47.11    67.57    63.11    25.82    56.86        0 
;

param trav_time:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8 :=
o1          0    37.05    47.01    42.46    25.49   120.48    78.28    85.24    101.2    94.07    62.08    65.17    46.76   144.55 
o2       40.3        0    43.67    39.72    25.04     75.4    40.29    41.27    72.64     92.1    49.95    81.85    37.34    63.71 
o3      67.51    40.76        0     89.4    26.89    74.38    56.34    54.73     32.2    79.91    23.71    32.32    28.26     49.9 
o4      44.21    27.92    75.11        0    59.13    64.62    35.66    37.72    81.33   104.04    77.22    83.01    50.74   147.47 
o5      22.48    39.86    30.51    59.27        0    77.26    77.81    67.19    95.23   118.82     31.1    46.97    51.98    72.67 
o6     123.62    54.07    64.92    80.83    70.94        0    32.29    47.41    36.54    34.96   115.02   102.41    38.57    95.75 
1       81.84    36.95    52.54    28.58    63.49    41.85        0     9.23    40.67    60.89    80.19    53.01    22.47    97.97 
2       81.12    25.65    49.96    40.48    77.91    48.52    11.59        0    38.46    67.05    62.67    79.91     26.5   101.16 
3        73.1    43.85    33.25    97.49    95.69    27.66    37.12     39.9        0    38.64    84.03    65.12    32.28    51.39 
4      109.11    84.52    80.24   118.02   113.25    23.82     73.5    78.37    47.34        0    84.17   109.11    73.42    78.54 
5       59.59     68.5    22.71    98.12    24.58   120.73    62.06    92.14     87.8    89.45        0    37.29    52.33    67.66 
6       73.67    49.67    27.46    77.88    53.15    68.66       80    56.86    53.28    87.96    56.12        0    38.43    24.61 
7       59.16    30.32    27.29    49.48     47.8    58.94    16.75    33.56    28.39    83.08    63.61    49.92        0     78.3 
8      110.44    89.97    70.53    98.06    95.75    86.27   105.49   121.17    65.46    63.88    83.31    26.53    82.79        0 
;

param d:       1    2    3    4    5    6 :=
1       0   15   11    0    0    0 
2       0    6    0    0   10    0 
3       0    0   17    0    0    0 
4      13    0    0    0    0    8 
5       0    0   11    0    0    0 
6       0    0    0    0   19    0 
7      18    0   18    0    0    0 
8       0    0    0    8    0    0 
;
