set N := 1 2 3 4 5 6 7 8 ;
set C := 1 2 3 4 5 6 ;
set K[1] := 1 2 3 ;
set K[2] := 1 ;
set K[3] := 1 2 ;
set K[4] := 1 2 3 ;
set K[5] := 1 2 3 ;
set K[6] := 1 2 ;
set o := o1 o2 o3 o4 o5 o6 ;

param Q := 150;

param dist:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8 :=
o1          0    80.28    94.84    84.72    47.33    35.28    61.65    78.62    59.08    71.17    32.21    44.82    14.28    87.66 
o2      80.28        0    23.42    16.15    33.62       70    39.95     5.87    34.88    51.57    56.99    52.81     79.3    43.92 
o3      94.84    23.42        0    36.96       48    76.15    63.18    20.21    57.76    45.27    66.38    74.53    96.65    29.16 
o4      84.72    16.15    36.96        0    41.83    80.66    32.56    21.98    29.86    67.07    66.43    49.36       81    60.02 
o5      47.33    33.62       48    41.83        0    39.18    35.75    31.38    29.31    40.71    24.62    34.81    48.75    48.23 
o6      35.28       70    76.15    80.66    39.18        0    70.81    66.02     65.4    40.38    15.17    61.03    47.29    60.04 
1       61.65    39.95    63.18    32.56    35.75    70.81        0     43.2     6.71    75.01    55.73    18.74    54.01    76.93 
2       78.62     5.87    20.21    21.98    31.38    66.02     43.2        0    37.61    45.82    53.63    54.45    78.68    38.21 
3       59.08    34.88    57.76    29.86    29.31     65.4     6.71    37.61        0    68.31    50.25    19.51    52.86    70.41 
4       71.17    51.57    45.27    67.07    40.71    40.38    75.01    45.82    68.31        0    39.12    75.32    79.32    20.91 
5       32.21    56.99    66.38    66.43    24.62    15.17    55.73    53.63    50.25    39.12        0    46.98    40.55    55.66 
6       44.82    52.81    74.53    49.36    34.81    61.03    18.74    54.45    19.51    75.32    46.98        0     35.7    82.14 
7       14.28     79.3    96.65       81    48.75    47.29    54.01    78.68    52.86    79.32    40.55     35.7        0     93.7 
8       87.66    43.92    29.16    60.02    48.23    60.04    76.93    38.21    70.41    20.91    55.66    82.14     93.7        0 
;

param trav_time:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8 :=
o1          0    97.96    88.23   118.47    64.98     42.3     66.1    70.68    85.29    89.48    40.14    53.24    17.68   123.22 
o2       88.4        0    29.67     21.3    33.08    84.62    38.42     5.07    41.31     58.6    66.04    62.37    86.78    52.48 
o3     127.33    28.03        0    43.17    45.62    66.64    82.62    16.65    73.18     52.2    76.57    95.33   142.15    23.46 
o4     125.07    20.39    48.39        0    35.46     75.2     26.4    26.36     32.6    87.86    90.25    42.98    75.15    68.54 
o5      44.68    46.13    64.63    44.73        0    43.83    42.69    27.39    31.93     41.3    34.69    33.72    62.41    64.27 
o6      31.11   102.43    98.91    87.39    53.96        0    72.61    98.11    54.87    45.11    18.26    62.11    41.29    55.65 
1       50.32    59.06    76.42    43.19    51.68    64.16        0    45.57     6.28    70.21    78.18    16.91    46.72     94.8 
2       97.12      7.7    26.81    32.17    38.84    57.37    38.58        0     52.4    40.43    79.16    77.15    97.68    40.73 
3       55.31    41.44     76.3    43.91    40.39    82.25      9.9    49.32        0    85.02    66.83    15.97    68.08    82.05 
4       84.82    54.04    62.28    82.53    52.76    40.93    98.97    46.04    95.35        0    48.88   100.15     92.9    26.69 
5       27.38    52.07    72.46    98.09    23.98     14.4    67.39    67.51    40.23    48.39        0    45.81    54.92    48.74 
6       65.29    73.23    79.53    65.98    39.99    59.34    17.82    46.29    29.18     80.9    65.63        0    33.64   101.49 
7       12.86      113   140.11   115.07    59.65    57.88     54.7    79.82    77.22     76.4    40.38    46.63        0   117.14 
8      120.34    42.09    39.34    56.12    40.64    84.06   106.79    30.84     62.3    27.02    50.23    80.16   107.03        0 
;

param d:       1    2    3    4    5    6 :=
1       0    0   10   14   14   10 
2       0    0    0    0   19    0 
3       0    0    0    0   12    0 
4       0    0   17    0    0    0 
5       5    0    0    0    0    0 
6       7    0    0    9   10    0 
7       0   19    0   19   16    8 
8       0    7   17    0    0    0 
;
