set N := 1 2 3 4 5 6 7 8 ;
set C := 1 2 3 4 5 6 ;
set K[1] := 1 ;
set K[2] := 1 2 ;
set K[3] := 1 2 ;
set K[4] := 1 ;
set K[5] := 1 2 ;
set K[6] := 1 2 ;
set o := o1 o2 o3 o4 o5 o6 ;

param Q := 150;

param dist:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8 :=
o1          0    50.96     8.11    61.56    52.14     9.37    66.25    53.25    18.16    62.75    61.22     8.35    50.36    25.71 
o2      50.96        0    45.13    35.12    38.67    46.25    25.75    68.15    63.81    62.87     45.7    49.27    69.11    47.06 
o3       8.11    45.13        0     53.5    52.04     2.52    58.71    58.01    19.55    65.57    61.44     4.66     55.6    29.17 
o4      61.56    35.12     53.5        0    72.56    52.88    16.52    97.69    65.21     95.9    80.37    55.31    97.47    71.22 
o5      52.14    38.67    52.04    72.56        0    54.43    64.36    33.98    70.18     24.4     9.53    56.51    36.74    30.05 
o6       9.37    46.25     2.52    52.88    54.43        0    58.78    60.42    17.84    68.09    63.85     3.02    57.96    31.65 
1       66.25    25.75    58.71    16.52    64.36    58.78        0    93.35    73.82    88.61    70.96    61.61    93.94    69.83 
2       53.25    68.15    58.01    97.69    33.98    60.42    93.35        0    69.59    18.21    34.93    60.94     4.89    29.21 
3       18.16    63.81    19.55    65.21    70.18    17.84    73.82    69.59        0    80.46    79.33    14.95    66.17    43.51 
4       62.75    62.87    65.57     95.9     24.4    68.09    88.61    18.21    80.46        0    20.73    69.33    22.97    37.04 
5       61.22     45.7    61.44    80.37     9.53    63.85    70.96    34.93    79.33    20.73        0    65.87    38.65    37.98 
6        8.35    49.27     4.66    55.31    56.51     3.02    61.61    60.94    14.95    69.33    65.87        0    58.26    32.56 
7       50.36    69.11     55.6    97.47    36.74    57.96    93.94     4.89    66.17    22.97    38.65    58.26        0    27.49 
8       25.71    47.06    29.17    71.22    30.05    31.65    69.83    29.21    43.51    37.04    37.98    32.56    27.49        0 
;

param trav_time:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8 :=
o1          0    57.34     6.56    78.17    57.56    13.07    83.38    75.14    23.41    80.44    53.86    11.88    41.73    37.44 
o2      44.11        0    64.62    39.69    39.36    56.29    32.77    92.44     53.3    93.26    56.29    48.53    57.11    50.82 
o3       8.73    40.03        0    49.58    68.88     2.53    78.92    48.95    27.66    73.97    64.71     3.95    68.81    43.07 
o4       52.5    38.43    70.36        0    98.26    77.81    16.68    81.05    61.66   106.01   106.44    56.28   116.39    95.02 
o5       46.5    36.59    46.29    91.94        0    66.09    71.53    43.35    56.51    27.92    10.12    83.04    40.55     35.6 
o6      13.16    57.63     2.54    64.07    50.78        0    77.39    76.93    20.92    69.54    54.76     4.22    66.99    33.26 
1       93.71    27.33    86.53    24.14    56.73    54.43        0    82.18    69.42   123.89    90.04    72.05   107.53    85.19 
2       43.96    77.14    73.59   103.01    42.68    68.31    83.98        0    58.09    26.61    32.97    74.41     6.13    31.29 
3       26.64    56.78    28.74    76.36    97.27    22.27   102.71   101.97        0     97.6    100.4    17.32    69.39    59.16 
4       72.38    53.02    92.25   123.13    31.72     78.3   120.02    25.86    87.67        0    22.51    58.41    29.26    50.13 
5       54.35    40.81    61.37    109.3    11.44    72.19   102.18    39.62    72.68    19.37        0    83.07    51.54    34.11 
6        9.37    42.96     6.43    49.06    47.25     2.85    62.78    70.87    21.99    93.15    91.21        0    71.76    27.49 
7       58.91    84.63    70.62   137.84     38.1    85.75    95.18     6.96    74.35    18.98    38.35    82.39        0    40.46 
8       20.76    38.41     34.5    79.27    32.85    40.27    80.42    32.98    45.24    38.27    39.04    31.86    28.12        0 
;

param d:       1    2    3    4    5    6 :=
1      13   10   15   17    0    0 
2       0    9    0    0    0    0 
3       0   16    0    0    0    0 
4       0    0    0    0    0   15 
5      18    0    0    0   19    0 
6       0    0    0    0    5    0 
7       0   16    0    0    0    0 
8      12    7   10   10    5    8 
;
