set N := 1 2 3 4 5 6 7 8 ;
set C := 1 2 3 4 5 6 ;
set K[1] := 1 2 3 ;
set K[2] := 1 2 ;
set K[3] := 1 2 ;
set K[4] := 1 2 ;
set K[5] := 1 2 ;
set K[6] := 1 2 ;
set o := o1 o2 o3 o4 o5 o6 ;

param Q := 150;

param dist:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8 :=
o1          0    35.27    22.16    52.45    30.74    54.46       44    25.19    36.74    36.77    47.13    41.84    44.24    31.47 
o2      35.27        0    57.42    45.55    18.51    66.17    76.63    55.39    65.17     7.78    20.93    64.84    46.65    66.73 
o3      22.16    57.42        0    66.18     50.7    57.18     26.5    18.71    29.07    58.51     67.7    37.73    55.03     9.31 
o4      52.45    45.55    66.18        0    28.72    31.13    69.33    51.25    88.96    38.09     29.8    44.89    13.06    73.15 
o5      30.74    18.51     50.7    28.72        0    47.77    64.62    43.12    66.59    12.87    17.07    48.62    28.18    59.54 
o6      54.46    66.17    57.18    31.13    47.77        0    48.39    38.53    85.34    60.39     57.2    21.97     21.1    60.67 
1          44    76.63     26.5    69.33    64.62    48.39        0    21.55    52.26    75.47    81.13    26.61    56.35    21.77 
2       25.19    55.39    18.71    51.25    43.12    38.53    21.55        0    47.45    53.94    59.78    19.45    38.96    22.82 
3       36.74    65.17    29.07    88.96    66.59    85.34    52.26    47.45        0    69.47    81.76    66.74     79.7    30.51 
4       36.77     7.78    58.51    38.09    12.87    60.39    75.47    53.94    69.47        0    13.65     61.2    40.22    67.72 
5       47.13    20.93     67.7     29.8    17.07     57.2    81.13    59.78    81.76    13.65        0    62.91     36.1    76.59 
6       41.84    64.84    37.73    44.89    48.62    21.97    26.61    19.45    66.74     61.2    62.91        0    31.89    39.66 
7       44.24    46.65    55.03    13.06    28.18     21.1    56.35    38.96     79.7    40.22     36.1    31.89        0    61.36 
8       31.47    66.73     9.31    73.15    59.54    60.67    21.77    22.82    30.51    67.72    76.59    39.66    61.36        0 
;

param trav_time:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8 :=
o1          0     48.2    19.78    58.45    34.73    78.18    53.86    32.21    53.35    38.22    40.24    35.75    48.63    35.12 
o2      29.25        0    77.06    49.25    22.31    53.37   105.05    46.73    89.09     8.15    23.02    88.14    42.45    70.66 
o3      22.95     50.9        0    83.23    46.74    65.13    21.83    20.25    29.76    70.79    90.18    46.13    58.82     9.02 
o4      49.15    53.35    96.36        0     39.2    36.13    60.88    50.66   101.46    34.69     33.2    42.56    14.31    94.02 
o5      40.58    15.32    48.08    40.82        0    70.82    91.04    62.09    95.43    11.66    20.45    64.57    38.55    49.33 
o6      79.63    93.99    85.19    28.06    52.36        0    55.28    43.13   108.22    59.35    75.26    32.23    18.98    76.61 
1       37.59    68.18    21.28    99.42    83.85    45.51        0    23.82    51.22   104.06   104.74    23.23    50.68    28.74 
2       24.18    46.18    26.08    70.55    57.72    57.16    26.89        0    52.81    57.46    80.31    21.72    38.01    19.92 
3       34.18       67    38.43    96.79    72.92    88.76     54.7    67.31        0    98.44    84.03    88.04   104.84    43.18 
4       42.16    10.68    82.91    53.58    12.92    54.49   103.76    80.06    59.87        0    18.22    87.14    55.56     84.6 
5       62.29    21.82    77.82    38.35    20.34    64.54    81.39    77.72    99.86    16.69        0    85.86    43.47    104.3 
6       40.16    78.32    49.45    45.16    53.22    29.66    31.74    17.43    71.17    89.42    84.98        0    28.99     44.5 
7       46.16    41.23     49.2    18.74    38.89    31.46    62.57     33.8    68.11    37.52     45.1    38.37        0    58.68 
8       39.25    63.13     9.95    72.15    69.71    86.62    18.65    21.46    38.95    95.47    83.31    42.79    75.54        0 
;

param d:       1    2    3    4    5    6 :=
1      12    0    0    0    0    0 
2       0    6   18    0    0   12 
3       0    0    0    0    0    8 
4       0   15    0    0    6    0 
5       0    0    0    0    0   11 
6       0    6    0    0    0   15 
7       0    0    0    0    0    6 
8       0    0    0    6    0    0 
;
