set N := 1 2 3 4 5 6 7 8 ;
set C := 1 2 3 4 5 6 ;
set K[1] := 1 2 ;
set K[2] := 1 2 3 ;
set K[3] := 1 2 3 ;
set K[4] := 1 ;
set K[5] := 1 2 ;
set K[6] := 1 2 3 ;
set o := o1 o2 o3 o4 o5 o6 ;

param Q := 150;

param dist:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8 :=
o1          0    44.79     28.2    83.83    38.06    56.44    45.06    45.66    86.58    39.47    39.65    64.72    84.03    29.49 
o2      44.79        0    29.03   103.75     6.92     13.1     21.6    83.01    68.76    73.12    79.72    78.37   103.34    53.56 
o3       28.2    29.03        0    75.91    22.98    35.93    18.27    55.33    59.41    44.83    53.32     51.5    75.62    24.71 
o4      83.83   103.75    75.91        0     98.5   106.21    84.66    49.75    73.84     47.5    58.06    26.09     1.42    55.58 
o5      38.06     6.92    22.98     98.5        0    18.75    19.62    76.23    68.46    66.47    72.84    73.48    98.15    47.16 
o6      56.44     13.1    35.93   106.21    18.75        0     21.6    91.24    61.56    80.72    88.88    80.24   105.63    60.41 
1       45.06     21.6    18.27    84.66    19.62     21.6        0    72.16    49.08    61.17    70.96    58.74     84.1    40.66 
2       45.66    83.01    55.33    49.75    76.23    91.24    72.16        0     91.5    11.38     8.58    44.75    50.57    31.57 
3       86.58    68.76    59.41    73.84    68.46    61.56    49.08     91.5        0    80.78    94.88    52.83    72.63    65.82 
4       39.47    73.12    44.83     47.5    66.47    80.72    61.17    11.38    80.78        0    14.53    36.86    48.04    20.51 
5       39.65    79.72    53.32    58.06    72.84    88.88    70.96     8.58    94.88    14.53        0    50.99    58.84    31.46 
6       64.72    78.37     51.5    26.09    73.48    80.24    58.74    44.75    52.83    36.86    50.99        0    25.43    35.23 
7       84.03   103.34    75.62     1.42    98.15   105.63     84.1    50.57    72.63    48.04    58.84    25.43        0    55.61 
8       29.49    53.56    24.71    55.58    47.16    60.41    40.66    31.57    65.82    20.51    31.46    35.23    55.61        0 
;

param trav_time:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8 :=
o1          0    36.87    33.76    88.41    46.97    63.61    45.59    63.07   100.34    46.28    50.59    59.43   107.05    33.74 
o2      36.25        0    43.16   115.42     6.31    15.62    27.93    79.47    75.26    66.87    96.93   111.99   129.48    54.74 
o3      27.64    34.24        0    98.46    19.68    31.01    21.62    57.75    69.51    45.19    49.04    75.97    77.71    21.02 
o4     101.19   146.54   110.35        0   117.48   142.13    97.25    52.83   104.28    64.99    79.96    29.83     1.56     51.9 
o5      33.35    10.15    33.69   118.25        0    18.94    21.05   106.01    55.16    86.36    87.14   109.98   127.03    62.11 
o6      61.54    13.15    34.37   149.16    17.61        0    19.44    83.03    83.67   121.07    86.89    90.71   127.75    61.53 
1       66.46    25.79    21.04    110.8    17.42    24.43        0    92.43     62.7    52.61    57.22    51.55   116.76    48.92 
2       51.06    88.35    68.59    43.73    95.21   125.01   103.25        0   121.19     9.11    10.49    61.75    75.59    29.57 
3      102.34     71.3     53.5    93.23    82.85    53.28    53.84   116.46        0    94.44    88.21    67.99   100.91    55.84 
4       55.94    99.76    64.41     55.4    75.22   114.95    69.07    16.31   119.63        0    15.43    53.13    69.06    23.71 
5       39.74   115.47     78.4    55.68    72.66    116.6    73.49    11.61   139.19    13.72        0    71.48    81.87    39.23 
6       53.41   108.97    58.97    36.74    90.57    99.84    55.32    63.28    61.76    37.24    47.94        0    25.16    33.67 
7      117.46     92.5    97.72     1.83   131.59   105.79   111.79     75.1   105.58    41.49    82.41    33.91        0    59.75 
8        39.7     61.5    35.14    48.51    45.39    60.03    57.26     32.7    77.52    23.49    30.29    44.37    81.18        0 
;

param d:       1    2    3    4    5    6 :=
1      18    0    8   11   11    9 
2       7   11    0    5   10    0 
3       0    0    0    0   10    0 
4       0    0    5   15    9   18 
5       0    0   13    0    0    0 
6       0   11    0    0    0    0 
7       6    0    0    0    0    0 
8      17    0    0    0    0    0 
;
