set N := 1 2 3 4 5 6 7 8 9 10 ;
set C := 1 2 3 4 5 6 ;
set K[1] := 1 2 ;
set K[2] := 1 ;
set K[3] := 1 2 3 ;
set K[4] := 1 ;
set K[5] := 1 2 3 ;
set K[6] := 1 2 ;
set o := o1 o2 o3 o4 o5 o6 ;

param Q := 300;

param dist:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8        9       10 :=
o1          0    92.22    53.29    39.14    32.32    28.25    97.03    67.81    37.07    93.32    54.05    39.75    25.63    72.65     58.9    68.24 
o2      92.22        0    40.15   116.63    75.62     87.6     6.64    37.78    80.12     6.54    68.74    54.22   106.96    75.33    56.23     47.8 
o3      53.29    40.15        0    76.85     45.4    48.02    44.24    19.89    41.94    40.34    36.49    21.54    66.84    51.17    27.47    27.61 
o4      39.14   116.63    76.85        0    71.17    29.08    119.9    83.21    38.15   115.75    55.99    72.22    13.51    67.63    67.12    78.31 
o5      32.32    75.62     45.4    71.17        0    52.96    81.65    64.93    56.78    78.78    66.62    23.97    57.69     85.8    65.08    70.37 
o6      28.25     87.6    48.02    29.08    52.96        0    90.82    54.52    11.18    86.68    30.49     46.6    21.64    46.86    39.68     50.7 
1       97.03     6.64    44.24    119.9    81.65    90.82        0    38.92    82.79     4.22    70.13    59.74   110.71    75.03    57.45    48.15 
2       67.81    37.78    19.89    83.21    64.93    54.52    38.92        0     45.2    34.72    31.21     41.3    75.68    38.71    18.54    10.93 
3       37.07    80.12    41.94    38.15    56.78    11.18    82.79     45.2        0    78.58    19.33     45.5    32.54    36.12    29.13    40.28 
4       93.32     6.54    40.34   115.75    78.78    86.68     4.22    34.72    78.58        0    65.93    56.49   106.65    71.07    53.25    44.05 
5       54.05    68.74    36.49    55.99    66.62    30.49    70.13    31.21    19.33    65.93        0    48.98    51.76    19.39    12.73    23.34 
6       39.75    54.22    21.54    72.22    23.97     46.6    59.74     41.3     45.5    56.49    48.98        0    59.96    66.95    44.28    47.74 
7       25.63   106.96    66.84    13.51    57.69    21.64   110.71    75.68    32.54   106.65    51.76    59.96        0    66.51    61.32    72.31 
8       72.65    75.33    51.17    67.63     85.8    46.86    75.03    38.71    36.12    71.07    19.39    66.95    66.51        0     23.7    27.89 
9        58.9    56.23    27.47    67.12    65.08    39.68    57.45    18.54    29.13    53.25    12.73    44.28    61.32     23.7        0    11.19 
10      68.24     47.8    27.61    78.31    70.37     50.7    48.15    10.93    40.28    44.05    23.34    47.74    72.31    27.89    11.19        0 
;

param trav_time:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8        9       10 :=
o1          0    77.93    59.64    47.41    30.98    37.73    91.37    84.45     49.6    89.13    53.32    40.63    24.32    64.44    83.08    80.12 
o2     125.75        0    38.07   107.94    83.75    87.86     8.95    30.43    103.8     8.98    92.23    65.21   106.66    92.74    60.85     55.8 
o3      70.68     55.9        0    64.55    36.78    57.81    64.66    20.83    48.27    36.62    54.61    17.64    88.59    56.67     37.3    35.18 
o4       50.3    111.4       72        0     62.5     23.6   123.59    82.81    39.36   154.53    75.82    95.44    11.48    98.81    71.47   104.75 
o5      26.61    80.94    62.91    90.82        0    57.22   107.53    76.14    51.93    89.48    84.02       23    50.79   103.99    95.65   101.03 
o6      41.53    92.42    49.31    43.62       62        0   119.54    56.04     16.1    126.8     26.4    52.35    28.19    56.91     57.4    68.24 
1       125.7     7.05    47.25   155.17   112.38   113.88        0    36.51    79.39     4.72     93.4    51.33   110.97    75.13    56.48    70.33 
2       72.48    46.79    20.75    87.85    83.78    68.71    41.46        0    52.87    30.53    35.88    49.23    72.85    31.66    24.77    15.52 
3       54.59    66.83    39.34    48.47    52.44     9.79    74.01    53.76        0    62.91    26.26    58.72    26.51     38.3    32.06    45.61 
4       125.3     8.95    52.82   151.83    100.9      119     4.34    37.19       68        0    71.35    63.23   107.25    84.38    74.52    50.32 
5        73.2     72.5    46.63    69.68    81.32    40.38   100.77    42.79    15.63    57.72        0    40.45    52.04    17.28    13.42     28.8 
6       39.61    68.58    19.38   104.28    25.69    54.51    68.56    55.94    46.67    49.78    46.69        0    89.63    84.07    60.51    58.67 
7       20.96   158.72    93.29    19.71    48.38    19.86   147.14    91.22    31.19   109.66    41.87    80.11        0    56.61    51.91   101.01 
8       81.18   106.61    54.23    84.91    85.05     47.3    79.44    40.06    28.94     68.5    29.04    55.19    70.56        0     24.9    35.23 
9        73.2     50.6     27.6    80.07     82.3    58.27     66.9    26.72    26.91    49.88    15.69    49.01    55.36    20.05        0    12.91 
10      81.13    60.81    30.15    74.49    99.88     52.3    67.51    16.05    34.21    65.11    20.79    50.22    60.08    37.47    15.98        0 
;

param d:       1    2    3    4    5    6 :=
1      11    8    0    0    0    0 
2       0    0    7    0    0    0 
3       0   17    0   11   18    8 
4       0    0    0    8    0    0 
5      12    0    0    0    0    0 
6       0    0    0    6    0    0 
7       0    0    0    0   16    0 
8       0    0    0    9    0    0 
9       8    0    0    0    0    0 
10      0    0   17    0    0    0 
;
