set N := 1 2 3 4 5 6 7 8 9 10 ;
set C := 1 2 3 4 5 6 ;
set K[1] := 1 2 ;
set K[2] := 1 ;
set K[3] := 1 2 3 ;
set K[4] := 1 2 3 ;
set K[5] := 1 ;
set K[6] := 1 ;
set o := o1 o2 o3 o4 o5 o6 ;

param Q := 300;

param dist:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8        9       10 :=
o1          0    81.95    91.12    79.06    11.73    69.77     5.38    85.22    97.86    22.76     66.4    85.27   107.29    37.95    25.25    83.24 
o2      81.95        0     9.22    32.18    81.18    61.36    76.69    33.65    76.21    97.48    37.32    54.54    39.36    44.41    60.77    87.71 
o3      91.12     9.22        0    35.05    90.14    66.18    85.88     34.9    77.97   106.35    42.83    56.82    34.71    53.63    69.63    92.04 
o4      79.06    32.18    35.05        0    73.74    32.13    74.71     6.16     44.1    87.57    13.46    22.37    29.13    49.53    53.94    57.21 
o5      11.73    81.18    90.14    73.74        0    60.57    13.24    79.82    88.24    16.74    60.54    77.28   102.62    39.41    20.73    72.18 
o6      69.77    61.36    66.18    32.13    60.57        0    67.13    35.29    28.28    69.76    24.19    19.55    56.63    55.94    46.63    26.56 
1        5.38    76.69    85.88    74.71    13.24    67.13        0    80.87    95.37    27.07    62.28    81.91   102.68    32.61    21.39    82.11 
2       85.22    33.65     34.9     6.16    79.82    35.29    80.87        0    43.08     93.5    19.36    22.09    23.38    55.37    60.09    59.06 
3       97.86    76.21    77.97     44.1    88.24    28.28    95.37    43.08        0    95.86    44.57    21.79    55.06    82.48     74.9    27.67 
4       22.76    97.48   106.35    87.57    16.74    69.76    27.07     93.5    95.86        0    74.14    88.05   116.69    56.15    36.72     75.8 
5        66.4    37.32    42.83    13.46    60.54    24.19    62.28    19.36    44.57    74.14        0    24.09    42.59    40.18    41.16    50.74 
6       85.27    54.54    56.82    22.37    77.28    19.55    81.91    22.09    21.79    88.05    24.09        0    39.19    63.84    60.58    38.15 
7      107.29    39.36    34.71    29.13   102.62    56.63   102.68    23.38    55.06   116.69    42.59    39.19        0    74.53    82.47    77.17 
8       37.95    44.41    53.63    49.53    39.41    55.94    32.61    55.37    82.48    56.15    40.18    63.84    74.53        0    22.15    79.05 
9       25.25    60.77    69.63    53.94    20.73    46.63    21.39    60.09     74.9    36.72    41.16    60.58    82.47    22.15        0    64.65 
10      83.24    87.71    92.04    57.21    72.18    26.56    82.11    59.06    27.67     75.8    50.74    38.15    77.17    79.05    64.65        0 
;

param trav_time:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8        9       10 :=
o1          0    80.94   132.09    92.95     9.99    69.51     7.89    98.85   135.95     34.1    58.11   103.37    88.94    52.73    29.01   117.26 
o2      87.93        0    11.97    48.23   100.36    87.62    81.63    48.66     61.6   122.61    46.74    45.33    58.85    56.08    59.79    76.57 
o3     103.65     8.16        0    45.65    86.91    74.14    119.5    29.27   102.17   129.82    62.22    75.84    36.97    50.74    55.93    95.27 
o4      84.96    38.29    30.43        0    83.84    36.23    79.91     5.57    37.42   128.86    17.65     29.8    29.13    65.82    54.99    48.61 
o5       17.3    94.72   117.11    92.57        0    73.67    13.27     74.7   117.02    13.53    75.91     98.3    83.89    40.13    16.79     74.6 
o6      83.57    71.64    79.39     39.1    83.12        0    73.99    36.98    41.31    60.33    36.18     24.2    70.47     45.1    48.36    33.24 
1         6.3    63.34    90.81    89.62    17.45    64.09        0    84.61   139.56    22.21    92.77    98.35   143.33       44    31.18   111.81 
2      122.74     41.6     44.2     9.04    86.39    51.39    96.56        0    59.69   129.49    20.18    29.46    25.36    77.83    70.75    57.66 
3      137.98    62.94   100.18    62.41    95.69     35.8   124.18    43.72        0   114.92    51.07    24.23    58.47   107.98     84.8    22.41 
4        22.3   124.37    88.66    90.41    13.48    56.87    24.19   128.44   138.98        0    70.14   107.49   112.74    76.22    37.29   111.15 
5       86.44    42.17    36.35    12.03    71.77    34.69    54.95    24.65    55.79    63.75        0    34.92    58.21    36.27     42.1    56.38 
6       89.24    43.68    66.72    31.49    68.01    19.45    69.02     24.6    19.12    84.19    19.65        0    49.15    51.72     62.1    32.74 
7      147.35    37.72    40.42    33.77    88.45     69.2    88.08    30.35    53.76   144.39    61.34    48.94        0    96.13    86.95    82.01 
8       55.53    58.43    79.59     55.3    52.07    60.51     47.5    81.71    86.48    60.49     42.9    95.62    95.39        0     26.6    97.09 
9       36.16    67.71    78.33     76.6    20.05    51.66    29.74    89.04    71.42    52.09    58.52    80.02    68.59    24.25        0    82.45 
10       76.6   102.36   126.02    71.79    93.62     38.8   120.31    54.76    28.16     79.6    54.38    39.34    66.46    78.78    61.06        0 
;

param d:       1    2    3    4    5    6 :=
1       0   16   15    9    0   13 
2      13    0    0    0    0   16 
3       0    0    0    0   17    7 
4       0    0    0    0    9    9 
5       9    0    0    0    0    0 
6      16    0    6    0   13    8 
7      15    0    0    0    0    0 
8       0   18    0    0    0    0 
9       0    0    0   14    0    0 
10      0    0    0    0   14    0 
;
