set N := 1 2 3 4 5 6 7 8 9 10 ;
set C := 1 2 3 4 5 6 ;
set K[1] := 1 ;
set K[2] := 1 2 ;
set K[3] := 1 2 ;
set K[4] := 1 2 3 ;
set K[5] := 1 2 3 ;
set K[6] := 1 2 3 ;
set o := o1 o2 o3 o4 o5 o6 ;

param Q := 300;

param dist:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8        9       10 :=
o1          0    40.41    57.04    51.18    24.39    43.11     71.8    45.92    30.98    23.14    53.16    47.18     33.7     57.5    40.11     64.4 
o2      40.41        0    90.84    69.76    26.81    66.36    99.58    79.04    66.05    49.67    86.73    84.38     28.8    69.85    80.51    98.94 
o3      57.04    90.84        0    35.99    64.66    30.47     21.7     11.8    63.99    72.54     4.12    63.44     67.4    46.27    38.81     8.23 
o4      51.18    69.76    35.99        0    43.69     9.74    32.64    28.78    73.91    73.56    33.11     81.9    41.52    10.81    59.99    43.09 
o5      24.39    26.81    64.66    43.69        0    39.61    72.78     52.9    55.31    44.56    60.54    71.38     9.59    45.48    60.78    72.84 
o6      43.11    66.36    30.47     9.74    39.61        0    33.28    21.18    64.38     64.9    26.95    72.17    39.58    19.94    50.45    38.32 
1        71.8    99.58     21.7    32.64    72.78    33.28        0    27.69    84.06    90.37     23.2    84.94    72.71    39.57    60.29    22.26 
2       45.92    79.04     11.8    28.78     52.9    21.18    27.69        0    56.51    62.95     7.69    59.07    55.94    39.58    34.89    19.94 
3       30.98    66.05    63.99    73.91    55.31    64.38    84.06    56.51        0    18.24     61.3    18.61    64.68    82.56    28.61    68.78 
4       23.14    49.67    72.54    73.56    44.56     64.9    90.37    62.95    18.24        0    69.17    36.69    54.13    80.46    43.08    78.69 
5       53.16    86.73     4.12    33.11    60.54    26.95     23.2     7.69     61.3    69.17        0    61.78    63.37    43.61    37.15    12.31 
6       47.18    84.38    63.44     81.9    71.38    72.17    84.94    59.07    18.61    36.69    61.78        0    80.34    91.68    24.65    66.17 
7        33.7     28.8     67.4    41.52     9.59    39.58    72.71    55.94    64.68    54.13    63.37    80.34        0    41.04    68.26    75.63 
8        57.5    69.85    46.27    10.81    45.48    19.94    39.57    39.58    82.56    80.46    43.61    91.68    41.04        0    70.37    52.97 
9       40.11    80.51    38.81    59.99    60.78    50.45    60.29    34.89    28.61    43.08    37.15    24.65    68.26    70.37        0    41.96 
10       64.4    98.94     8.23    43.09    72.84    38.32    22.26    19.94    68.78    78.69    12.31    66.17    75.63    52.97    41.96        0 
;

param trav_time:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8        9       10 :=
o1          0    42.04    78.84    72.77    34.86    63.06    88.33    44.05    28.21    28.12    76.28    62.15     45.2    46.63     33.9    56.55 
o2         44        0   113.45    77.77    31.57    93.76   137.93    93.77    94.15    74.22    83.68    71.94    36.46    70.44    91.41    95.54 
o3      51.48   130.71        0    37.29    96.92    25.38     21.8    10.53    83.17   108.32     5.19    60.06    62.33    63.51    36.57       11 
o4      61.43    65.94    53.91        0    50.53    12.12    27.02    30.85       86   103.53    32.58    76.72    59.54    15.53    59.41    48.59 
o5       32.1    26.15    60.09    58.65        0    46.34    61.03     77.3    75.53    39.06    65.07    69.48     11.7    39.82    50.11    101.7 
o6      59.64     96.2    39.03    14.19    32.94        0    41.44    28.32    82.24    81.82    39.45    92.49    34.67    20.45    72.37     38.4 
1       86.23   133.34    18.43    38.65     74.7    39.36        0    31.36     94.6       97    21.07    80.92    71.53    41.08    55.86     24.5 
2       59.13    73.41    11.58    29.01     52.8    22.39    26.05        0    67.61    76.33     7.77    69.25    67.33    58.82    45.69    17.33 
3       28.49     93.1    55.48   106.33    65.79    65.19    95.84    60.58        0    21.82    83.59    19.12    64.37    94.51    24.81    57.03 
4       29.05    55.63    83.35     86.5    58.52    60.71   134.54    81.81    23.16        0    67.78    32.55    67.49    89.94    50.36    78.92 
5       66.76   117.64     4.44    36.09    56.78     29.3    20.24    10.07    83.34    92.31        0    65.11       56     55.5     32.9    15.84 
6       38.94    89.01    82.78    68.84   101.67   103.57   124.84       55       25    35.57    91.37        0   105.92   111.11    28.73    83.08 
7       46.48    39.74    94.64    45.42    10.74    36.99   102.22    76.36    76.11    59.28     90.2    85.92        0    35.53    85.56       71 
8       65.98    80.46    57.88    10.46     45.2    24.58    53.93    52.75    78.45    110.4    38.15    111.9    38.53        0    90.73    69.06 
9       34.49    79.05     58.2    74.72    57.33    55.28    61.36    44.91    38.39     37.9    32.98    36.35    88.86    70.59        0    40.68 
10      75.24   140.67     7.91    35.24    93.96    32.12    32.24    16.98    81.22   109.37    12.71    60.64    60.59    70.68    59.46        0 
;

param d:       1    2    3    4    5    6 :=
1      10    0    5    0    0    0 
2       0    0    0   13    0    0 
3       0    7    0   11    9    8 
4       0   18    0    0    0    0 
5       0    0    7    0    0   18 
6       0    0    0   19    0    0 
7      14    0    0    0    0    0 
8       0    0    0   17    0    0 
9       7    0    0    0    0    0 
10      0    0    0    0    0    8 
;
