set N := 1 2 3 4 5 6 7 8 9 10 ;
set C := 1 2 3 4 5 6 ;
set K[1] := 1 2 ;
set K[2] := 1 2 3 ;
set K[3] := 1 ;
set K[4] := 1 2 ;
set K[5] := 1 2 ;
set K[6] := 1 2 3 ;
set o := o1 o2 o3 o4 o5 o6 ;

param Q := 300;

param dist:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8        9       10 :=
o1          0    57.59    92.05    57.01    73.12    41.89     8.84    27.94    99.01    14.36    47.77    19.23    66.77    42.12    64.28    39.61 
o2      57.59        0     34.7    15.98    17.32    50.49    66.42    62.89    41.43    50.45    38.52    72.66     11.2    58.98    43.61    22.04 
o3      92.05     34.7        0    38.62    19.63    76.43   100.89    96.49     8.11    85.07    62.19   106.07    25.57    89.88    64.69    53.98 
o4      57.01    15.98    38.62        0    19.18    38.49    65.64     69.1    46.55    53.76    24.89    68.67    14.59    68.85    58.69    17.41 
o5      73.12    17.32    19.63    19.18        0    57.49    81.94    80.19    27.44    67.23    43.52    86.58     6.44    75.98    56.74    34.46 
o6      41.89    50.49    76.43    38.49    57.49        0     47.4     66.9     84.5    49.16    14.39    42.15    53.02    75.85    82.58    30.04 
1        8.84    66.42   100.89    65.64    81.94     47.4        0    29.31   107.85    20.63    54.91    14.62    75.59    45.49    70.91    48.27 
2       27.94    62.89    96.49     69.1    80.19     66.9    29.31        0      102    17.87    68.89    43.93    73.89    17.39    49.16     53.3 
3       99.01    41.43     8.11    46.55    27.44     84.5   107.85      102        0    91.41    70.29    113.5     33.1    94.33    67.07    61.52 
4       14.36    50.45    85.07    53.76    67.23    49.16    20.63    17.87    91.41        0    51.15    33.47     60.8    28.68    50.34    37.01 
5       47.77    38.52    62.19    24.89    43.52    14.39    54.91    68.89    70.29    51.15        0    52.85    39.47    74.68    75.33    21.38 
6       19.23    72.66   106.07    68.67    86.58    42.15    14.62    43.93    113.5    33.47    52.85        0     80.5    59.94     83.5    52.11 
7       66.77     11.2    25.57    14.59     6.44    53.02    75.59    73.89     33.1     60.8    39.47     80.5        0    70.15    52.74    28.44 
8       42.12    58.98    89.88    68.85    75.98    75.85    45.49    17.39    94.33    28.68    74.68    59.94    70.15        0    34.28    55.74 
9       64.28    43.61    64.69    58.69    56.74    82.58    70.91    49.16    67.07    50.34    75.33     83.5    52.74    34.28        0    53.99 
10      39.61    22.04    53.98    17.41    34.46    30.04    48.27     53.3    61.52    37.01    21.38    52.11    28.44    55.74    53.99        0 
;

param trav_time:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8        9       10 :=
o1          0    80.65    81.57    76.81    87.82    45.53    11.14    27.81   103.86    17.68    60.88    19.89     75.2    34.61    80.13    52.62 
o2       52.1        0    43.47    20.39    23.15     54.4    69.62    64.72    36.52    71.73    44.01    87.51    12.35    75.52    60.87    24.26 
o3     101.94    39.53        0    32.97    21.05   103.42   123.74   119.42    11.25    90.38    65.19   121.32    29.22    87.71    65.32    51.73 
o4      74.12    17.91    49.62        0    22.13    49.98    57.07    74.24    53.61    43.96    36.13    95.43    15.13     99.3    63.26    25.99 
o5      61.52    22.71    20.79    22.99        0    55.56    72.35    96.45    26.84    90.11    60.83   118.46     5.48   101.87    83.68    29.94 
o6      41.09    57.56    92.95    55.39    70.18        0    61.99    68.34   105.17    71.48    14.57    51.93    64.87    74.83    73.14    42.55 
1       11.34    89.14   123.77    92.45   118.76    70.03        0    25.53   106.86    20.54    48.23    17.45    76.17    54.95    91.06    46.24 
2       27.87    57.26   104.75    94.63    110.1    59.79    33.27        0   104.23    26.36    99.23    47.51    75.15     24.4    44.08    52.08 
3      125.15    54.22    10.37    40.32    23.53    97.66   126.24   139.31        0     92.6    91.42    96.07    32.61   119.33    53.94    64.41 
4       15.37    51.31    72.74    73.49    97.52    55.87    23.94    15.77   133.46        0    43.14     47.6    79.49    26.59    43.72     31.8 
5       41.89    56.67    68.02    22.78    42.19    18.64     70.1    63.79    74.35    65.76        0    54.32    35.86    82.49   102.56    21.06 
6       23.46    96.84   120.63    56.05   108.99    36.57     20.6    40.97    96.63    44.67    79.18        0    74.18    55.48    91.14    54.09 
7       94.62     16.7     33.5    13.06     7.91     42.7    103.4    66.32    45.98    84.45       54    82.73        0    59.15    78.31    41.69 
8       35.18     80.9   100.54    63.41    70.12    91.91    64.86    20.88   118.34    33.09   106.01    88.24   102.44        0    43.62    70.45 
9       95.98    49.83     76.8    48.74    45.79   114.53    75.86    43.54    57.55    53.42      109   113.52    75.24    31.59        0    79.09 
10      44.18    25.56    71.38    20.68    49.26    32.61    58.71    67.47    87.33    40.12    26.92    69.01    39.49    60.74    76.11        0 
;

param d:       1    2    3    4    5    6 :=
1       0    0    0   12    0    0 
2       0   18   12    0    9    6 
3       0   18    0    0    0    0 
4       0    7    0    0    0    0 
5      14   18   10    0   17    0 
6      19   10   16    9   16   18 
7       0    0    0    0    0   15 
8       9    0    0    0    0    0 
9       0   19    0   17    0   17 
10      7    0    0    0    0    0 
;
