set N := 1 2 3 4 5 6 7 8 9 10 ;
set C := 1 2 3 4 5 6 ;
set K[1] := 1 2 3 ;
set K[2] := 1 2 ;
set K[3] := 1 2 3 ;
set K[4] := 1 2 ;
set K[5] := 1 2 3 ;
set K[6] := 1 ;
set o := o1 o2 o3 o4 o5 o6 ;

param Q := 300;

param dist:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8        9       10 :=
o1          0    21.42    34.77    26.74    66.37    45.09    12.55    52.19    45.67    58.01    58.73    78.56     4.57     7.62    32.19    55.11 
o2      21.42        0    43.82    46.48    64.18    42.33     9.61    71.99    66.51    52.71     53.9    78.34    17.08    16.46    19.38    75.46 
o3      34.77    43.82        0    50.86    37.78    23.53    41.25    42.22    60.49    35.41    35.23     46.8    37.01    40.96    35.56    47.58 
o4      26.74    46.48    50.86        0    87.54    68.15    36.87     43.9    20.84    81.46     81.9    97.64    30.05    30.02    58.87    44.03 
o5      66.37    64.18    37.78    87.54        0    22.06    67.05    75.87    98.27    13.42    11.84    14.86    66.61    70.03     46.1    81.53 
o6      45.09    42.33    23.53    68.15    22.06        0       45    65.71    81.42    13.32    13.79    36.02    44.92     48.2    25.21     71.1 
1       12.55     9.61    41.25    36.87    67.05       45        0    64.45    56.96    56.74    57.75    80.51     7.99     6.85    25.68    67.54 
2       52.19    71.99    42.22     43.9    75.87    65.71    64.45        0     36.3    76.86    76.42    79.62     56.7     59.6    72.95     5.66 
3       45.67    66.51    60.49    20.84    98.27    81.42    56.96     36.3        0    94.55     94.7   106.12    49.59     50.2    76.78    33.78 
4       58.01    52.71    35.41    81.46    13.42    13.32    56.74    76.86    94.55        0     1.59    28.21     57.5    60.57    33.87    82.39 
5       58.73     53.9    35.23     81.9    11.84    13.79    57.75    76.42     94.7     1.59        0    26.65    58.33    61.46    35.17    81.97 
6       78.56    78.34     46.8    97.64    14.86    36.02    80.51    79.62   106.12    28.21    26.65        0    79.32    82.92    60.71    85.23 
7        4.57    17.08    37.01    30.05    66.61    44.92     7.99     56.7    49.59     57.5    58.33    79.32        0     3.96     29.6    59.67 
8        7.62    16.46    40.96    30.02    70.03     48.2     6.85     59.6     50.2    60.57    61.46    82.92     3.96        0    31.34    62.34 
9       32.19    19.38    35.56    58.87     46.1    25.21    25.68    72.95    76.78    33.87    35.17    60.71     29.6    31.34        0    77.45 
10      55.11    75.46    47.58    44.03    81.53     71.1    67.54     5.66    33.78    82.39    81.97    85.23    59.67    62.34    77.45        0 
;

param trav_time:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8        9       10 :=
o1          0    19.09    27.98    37.77    98.78       48    14.25    42.43    38.89    83.84    54.06   113.85     6.73     8.54    28.78     58.1 
o2      28.57        0    50.01    54.14    91.74    60.45     13.9    93.89    97.75    76.36    73.34    88.31    19.82    22.99    24.37    84.19 
o3      29.44    35.28        0    52.29    35.17    24.33    35.13    40.42    61.43    32.29    46.53    56.97    36.62    33.53    30.71    52.27 
o4      23.65    44.17    51.25        0   108.92    82.43    32.06    54.01    19.45   108.63    87.94   127.11    32.49    30.47    79.26    57.26 
o5      56.93    70.88    37.02    90.82        0    21.88    67.09    104.4   131.28     11.8    15.01    19.54    72.04     76.3    67.68   101.14 
o6      63.58     63.3    26.27    85.33    27.65        0    49.38     96.9    81.09    17.35    14.16    53.11    45.35    47.37    29.28    88.95 
1       17.99     11.8     37.2    43.95    82.69    52.77        0    81.39    49.96    62.35    54.48    94.15     9.63     9.69    21.27    85.51 
2        76.3    70.41    35.38    41.05    73.03    79.14    87.49        0    53.29   113.58   101.62    70.47    76.93    75.81    83.39     4.95 
3       59.03    72.44     67.3    26.26   138.71   121.17    73.08     52.5        0   121.74   126.52   156.45    51.84    66.05     71.3    45.64 
4       74.18    75.53    43.56   100.77    15.13    11.58    76.97    81.13    130.9        0     1.51    37.61    46.73    75.71    41.77   103.54 
5       63.59    57.54    45.41   107.41    14.22     11.2    71.52    65.21    79.93     2.11        0    26.64    49.85    67.47    37.95   110.09 
6      108.26    83.15    58.58   118.25    19.83    34.64   102.29   108.28   119.81    26.26    25.31        0   110.72    72.57    69.21   124.54 
7        5.98    21.54    50.29     27.4    56.25    52.38     6.68    72.31    43.25    53.73    47.15   116.61        0      3.6    34.87    59.19 
8       11.35    20.03    47.94    35.45    66.72    38.85    10.27    51.36    52.18    65.98     66.8    75.18     5.37        0     28.5    68.15 
9       28.08     20.7    35.04    67.37    66.06    34.65    23.05    64.14       79    37.14     31.8    78.01    43.66    35.25        0    72.92 
10      80.31   102.77    47.47    47.68    67.06    95.22    94.44      7.2     28.5    94.95    87.23   126.41    54.83    50.45   107.43        0 
;

param d:       1    2    3    4    5    6 :=
1       0    0    0    0    6    0 
2       0    0    9    0    0    0 
3      10   16   19   10   12   11 
4      19    0   16   15   11    9 
5      12    0    0    0    0    0 
6       0    0   19    0   19    6 
7       0    0    0    8    0    0 
8       0    0    0    0    0   10 
9       0    0   18    0   17    0 
10      0    0    0   10    0    0 
;
