set N := 1 2 3 4 5 6 7 8 9 10 ;
set C := 1 2 3 4 5 6 ;
set K[1] := 1 ;
set K[2] := 1 ;
set K[3] := 1 2 3 ;
set K[4] := 1 2 ;
set K[5] := 1 2 ;
set K[6] := 1 2 3 ;
set o := o1 o2 o3 o4 o5 o6 ;

param Q := 300;

param dist:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8        9       10 :=
o1          0    77.92   102.94    23.23     48.2    57.94     72.2    68.04    29.02    94.72    29.49    40.32    58.07    53.93    35.31    49.45 
o2      77.92        0    36.23    66.21    58.09    62.54    58.76    64.57    53.16    19.69    62.38     41.3     27.2    50.24    48.17    63.29 
o3     102.94    36.23        0    97.01    93.32    65.15    94.84    61.43    74.37    19.02    79.34    73.27    44.89    86.01    68.14    98.62 
o4      23.23    66.21    97.01        0    25.07    67.56    49.16    77.03    32.96    85.07    40.71    24.93    53.83    31.61    37.56    26.25 
o5       48.2    58.09    93.32    25.07        0    81.78     24.1    89.98    48.63    77.76    59.27    24.51     56.9     9.31    50.62     5.35 
o6      57.94    62.54    65.15    67.56    81.78        0    98.83    10.11    34.69    68.07    28.59    58.09    36.28    80.62    31.27     86.2 
1        72.2    58.76    94.84    49.16     24.1    98.83        0   105.77    68.59    76.84    80.01    41.41    67.97    19.43    69.04    24.33 
2       68.04    64.57    61.43    77.03    89.98    10.11   105.77        0    44.08    67.13    38.65    65.84    40.19    88.13    40.06    94.59 
3       29.02    53.16    74.37    32.96    48.63    34.69    68.59    44.08        0    67.82    11.72    27.43    29.83    49.33      6.3    52.57 
4       94.72    19.69    19.02    85.07    77.76    68.07    76.84    67.13    67.82        0    75.24    60.33    38.47    69.78    62.07    82.94 
5       29.49    62.38    79.34    40.71    59.27    28.59    80.01    38.65    11.72    75.24        0    39.07     36.8    60.66    14.47    62.85 
6       40.32     41.3    73.27    24.93    24.51    58.09    41.41    65.84    27.43    60.33    39.07        0    33.01    22.58    27.66    29.52 
7       58.07     27.2    44.89    53.83     56.9    36.28    67.97    40.19    29.83    38.47     36.8    33.01        0    52.45    23.81    62.12 
8       53.93    50.24    86.01    31.61     9.31    80.62    19.43    88.13    49.33    69.78    60.66    22.58    52.45        0    50.18    13.66 
9       35.31    48.17    68.14    37.56    50.62    31.27    69.04    40.06      6.3    62.07    14.47    27.66    23.81    50.18        0    54.95 
10      49.45    63.29    98.62    26.25     5.35     86.2    24.33    94.59    52.57    82.94    62.85    29.52    62.12    13.66    54.95        0 
;

param trav_time:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8        9       10 :=
o1          0   105.24   119.15     27.8    40.34    76.67    63.42    91.49    27.47   121.97    26.75    60.36    84.21    74.41    31.81    47.51 
o2       63.3        0    33.75    99.28     80.3    86.86    68.61    87.68    43.12     22.6    54.18    55.66     23.4    58.32    44.44    68.53 
o3     125.36    46.98        0      132   112.64     70.2   103.87    70.35    96.96    17.86   101.75    64.36     63.1    87.23    64.85   109.19 
o4      27.28    64.26    84.13        0    35.58    88.26    45.27    93.71    30.26   120.22    48.05    20.46    56.32    33.75    36.58    28.93 
o5      59.28    86.58   121.75    37.51        0   108.34    27.32   114.88    54.75     82.4    71.93    26.72    85.28     8.77    45.22     5.21 
o6      51.36    68.59    66.39    68.26    67.15        0    111.5    10.52    37.66    96.61    33.58    56.07    43.05   112.24    46.12    123.7 
1      101.16    58.47    89.26    49.65    28.37    98.45        0   112.97    84.45    99.79   104.49    40.57    59.91    26.65    65.15    27.89 
2       90.76     87.4    90.32   102.47    84.58     8.41    97.71        0    63.18    99.89    48.27    92.48    34.79    100.5    47.23   124.96 
3       27.85    77.08    81.71    43.94    46.69    49.33     81.4     64.6        0    73.51    16.82    24.15    38.28    52.17     9.09    54.06 
4      113.58    25.11    18.44   120.47    96.46    69.56    76.56    65.49    82.35        0    84.04    80.08    35.24    71.52    89.62   105.12 
5        39.3    88.18    87.83    51.92    58.32     23.6    77.25    47.33    10.44   112.23        0    57.26    37.35    72.48    14.41    80.02 
6       46.11    48.59    75.14    20.08    36.64    86.11    42.75    77.17    32.91    53.41    36.21        0    45.83    27.28    30.65    43.45 
7       64.44    27.62    56.01    62.28    72.93    29.67     68.6    48.45    36.86     34.2    52.63    26.84        0    59.73    31.07    54.05 
8       75.29    45.82   115.64    40.46    12.95    98.99    15.87   130.27    57.09    63.28    83.94    19.44    47.74        0    57.38    17.92 
9       46.64    39.14    95.97    32.67    53.28    43.37    78.58    50.52     5.88    51.15    13.96    25.75    31.36    52.73        0    60.17 
10      49.57    94.48    94.47    27.63     6.11   103.87    25.06    89.12     48.6    70.55    52.29    39.27     62.2     15.1    77.44        0 
;

param d:       1    2    3    4    5    6 :=
1       0    0    0   10    0    0 
2       0    0    0   10    0    0 
3       0    0    0    0    0    5 
4      19   11    5    0    0   12 
5       0    0    7    0    0    0 
6       0    0   19    0    6    0 
7      19    0    8    0    0   18 
8      11    0    0    0    0    0 
9       0    0    0    0   17    0 
10     16    6   18    0    0    0 
;
