set N := 1 2 3 4 5 6 7 8 9 10 ;
set C := 1 2 3 4 5 6 ;
set K[1] := 1 ;
set K[2] := 1 2 ;
set K[3] := 1 2 3 ;
set K[4] := 1 ;
set K[5] := 1 ;
set K[6] := 1 2 ;
set o := o1 o2 o3 o4 o5 o6 ;

param Q := 300;

param dist:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8        9       10 :=
o1          0    20.27     44.7    69.99    27.11    86.12    88.61    69.91    36.17    24.97    26.77    65.36    86.45    37.35    80.28    68.65 
o2      20.27        0    37.94    79.54    45.32    73.41    78.93    66.25     23.8    44.79    11.48    59.41    86.49    47.73    62.98     54.3 
o3       44.7    37.94        0    56.22    51.48    43.39    43.96    28.48    16.06    56.94    27.12    21.56     50.1    35.64    47.34    30.16 
o4      69.99    79.54    56.22        0    50.13    85.31    75.61    47.53    68.65    58.38    73.86    53.92     40.6    32.74   100.41    81.88 
o5      27.11    45.32    51.48    50.13        0    94.67    92.73    67.85    51.32     8.46    47.18    66.95    77.65    22.88    96.12    80.87 
o6      86.12    73.41    43.39    85.31    94.67        0     15.2    37.99    50.49   100.32    62.17    31.83    55.76    76.41    27.03    19.89 
1       88.61    78.93    43.96    75.61    92.73     15.2        0    28.53    55.16    99.29    67.44    25.93    42.18    72.31     41.8    30.42 
2       69.91    66.25    28.48    47.53    67.85    37.99    28.53        0    44.27    75.25     55.6     9.51     23.3    45.89    56.89    38.99 
3       36.17     23.8    16.06    68.65    51.32    50.49    55.16    44.27        0    54.62    12.32    36.49    66.16    42.18    45.24    32.48 
4       24.97    44.79    56.94    58.38     8.46   100.32    99.29    75.25    54.62        0    48.67    73.75    85.88    31.07    99.84     85.5 
5       26.77    11.48    27.12    73.86    47.18    62.17    67.44     55.6    12.32    48.67        0    48.35    76.63     43.9     53.6    43.38 
6       65.36    59.41    21.56    53.92    66.95    31.83    25.93     9.51    36.49    73.75    48.35        0    32.76     46.4    48.06    29.85 
7       86.45    86.49     50.1     40.6    77.65    55.76    42.18     23.3    66.16    85.88    76.63    32.76        0    54.82    78.41    61.34 
8       37.35    47.73    35.64    32.74    22.88    76.41    72.31    45.89    42.18    31.07     43.9     46.4    54.82        0    82.91     65.7 
9       80.28    62.98    47.34   100.41    96.12    27.03     41.8    56.89    45.24    99.84     53.6    48.06    78.41    82.91        0    18.55 
10      68.65     54.3    30.16    81.88    80.87    19.89    30.42    38.99    32.48     85.5    43.38    29.85    61.34     65.7    18.55        0 
;

param trav_time:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8        9       10 :=
o1          0    19.92    65.74    97.37    32.76   125.39     90.4    87.73    51.93    36.92    24.85    69.51    93.92    38.51    85.66    86.54 
o2      26.95        0    40.04    70.39    56.03    78.34   108.68    82.55    21.59    60.68    10.72    85.11    98.79    53.82    55.82     76.2 
o3      61.55       42        0    66.74    54.24     61.8    39.26    26.53    19.71    68.84    21.86     20.4     56.8    41.22    40.75    43.46 
o4      73.57    63.66    74.28        0    50.11    86.21    92.95    59.51   100.14    65.41   100.02    52.12       43     38.6   115.14   118.82 
o5      27.03     50.6    74.26    67.95        0     80.2    82.31    59.06     43.8    11.24    62.33    79.64   112.07    29.66   109.28    79.14 
o6      95.92   101.45    52.26   127.23    78.58        0    14.27    36.43     71.4    82.73    79.81     39.3    44.69    98.28    28.38    27.61 
1        89.3   115.45    37.98     97.2   130.69    19.99        0    22.86    78.45    80.39     96.5    34.34    40.31   108.09    56.23    43.15 
2       92.16    66.59    31.05    43.23    61.42    46.59    24.46        0    48.81    82.22    54.29     14.2    23.28    65.81     76.5    34.75 
3       31.81    31.99    21.17     96.9    57.39    46.27    46.42    37.26        0    61.74    18.09    34.09    73.16    43.56    52.81    34.22 
4        21.5    38.26    55.98    50.71     6.87   127.91    133.7    69.48    45.78        0    43.27    98.39    90.36    41.47     84.8    82.08 
5       24.85    11.06    30.07    61.37    49.42    86.01    73.92    59.56    16.51    72.53        0    39.91    73.85    37.51    70.94     53.9 
6       73.73    62.94    17.62    70.81    72.72    47.13    22.99    11.07    44.95    93.58    64.95        0    48.95    58.75    67.54    31.98 
7       79.37    90.86    55.64    56.07    93.45    57.34    53.08    28.55    62.65    85.35    84.06    48.59        0    73.91     84.8    52.81 
8       55.13    57.18     50.8    37.81    20.37    82.85    86.13    49.33    57.24    28.74    57.27    62.49     61.4        0    98.55    73.75 
9       75.79    91.07    53.82   105.34   134.65    37.64    52.25    54.95    38.36   148.97    77.74    57.97    75.02   118.17        0    17.26 
10      87.15    66.78    26.05    68.66    87.36    16.31    28.25     45.9    33.71   127.71    44.75    24.79     56.3    61.84    16.49        0 
;

param d:       1    2    3    4    5    6 :=
1       0   15    0    0    0    0 
2       0   12    0   15    0    0 
3      15    0   13    8    0    0 
4       9    0    0    0    0    0 
5       6    0    0    0    7    0 
6      10    0    0   19    0    0 
7       8    0    0    0    0    0 
8      12    0    0    0    0    0 
9       0    0    0    0   15    0 
10      0    0    0   10    0   13 
;
