set N := 1 2 3 4 5 6 7 8 9 10 ;
set C := 1 2 3 4 5 6 ;
set K[1] := 1 ;
set K[2] := 1 2 3 ;
set K[3] := 1 2 ;
set K[4] := 1 2 ;
set K[5] := 1 ;
set K[6] := 1 ;
set o := o1 o2 o3 o4 o5 o6 ;

param Q := 300;

param dist:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8        9       10 :=
o1          0    65.15    50.16    10.39    62.34    73.47    39.02    71.99    29.97    48.63    42.98    62.39    34.68    81.12    73.64    84.99 
o2      65.15        0     23.1    67.47    15.08     35.4    26.21    88.85    87.81    87.92    22.22    61.12    82.49       85    89.29    83.04 
o3      50.16     23.1        0    55.53     32.3    53.27    16.32    93.48    77.36    84.62    14.86    69.12    75.64    93.69    94.36     93.5 
o4      10.39    67.47    55.53        0    62.33    70.54     42.2    62.17    21.94    38.24    45.95    55.01    24.46    72.15    63.88    76.47 
o5      62.34    15.08     32.3    62.33        0    21.32    26.87    74.81    80.77    76.92    23.57    46.59    73.49    70.13    75.13    67.99 
o6      73.47     35.4    53.27    70.54    21.32        0    44.78    63.56    85.06    74.04    42.38    35.04    74.84    54.97    63.37    51.21 
1       39.02    26.21    16.32     42.2    26.87    44.78        0    77.46    63.44    68.56     3.99     54.2     60.3    78.58    78.41    78.99 
2       71.99    88.85    93.48    62.17    74.81    63.56    77.46        0    57.76    30.83    78.65    28.81    43.95    16.73     1.93     24.2 
3       29.97    87.81    77.36    21.94    80.77    85.06    63.44    57.76        0    27.61    67.02    61.27    14.01    71.58    59.67    77.52 
4       48.63    87.92    84.62    38.24    76.92    74.04    68.56    30.83    27.61        0    71.16    42.63     14.9    46.04    32.76    52.75 
5       42.98    22.22    14.86    45.95    23.57    42.38     3.99    78.65    67.02    71.16        0    54.41    63.43    78.95    79.52    78.98 
6       62.39    61.12    69.12    55.01    46.59    35.04     54.2    28.81    61.27    42.63    54.41        0    48.27    24.59    28.86    24.98 
7       34.68    82.49    75.64    24.46    73.49    74.84     60.3    43.95    14.01     14.9    63.43    48.27        0    57.57    45.85    63.54 
8       81.12       85    93.69    72.15    70.13    54.97    78.58    16.73    71.58    46.04    78.95    24.59    57.57        0    15.11     7.55 
9       73.64    89.29    94.36    63.88    75.13    63.37    78.41     1.93    59.67    32.76    79.52    28.86    45.85    15.11        0    22.63 
10      84.99    83.04     93.5    76.47    67.99    51.21    78.99     24.2    77.52    52.75    78.98    24.98    63.54     7.55    22.63        0 
;

param trav_time:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8        9       10 :=
o1          0    74.66    41.88    10.72    64.96    91.16    52.85   103.38    30.81    55.33    42.53    82.58    40.85    94.51    72.14    87.67 
o2      66.23        0    32.85    98.28    13.24    33.82    34.86   127.56     74.9    82.35    31.86     83.4   108.28    90.72   101.93    93.11 
o3      44.82    29.09        0    46.41    46.77    64.91     18.9    82.94   111.13    79.48    13.45    67.39    88.79    128.8   104.53   119.37 
o4       9.73    55.81    55.52        0    80.17    97.26    42.63    72.47    27.69    46.88    42.49    72.73    30.39    81.86    68.85    70.37 
o5      62.72     22.4    25.86    74.49        0    23.96    33.73     87.3    92.26    77.23    27.97    63.48   106.26    73.84    94.07    97.91 
o6      79.62    51.87    43.69    72.32    17.35        0    60.43    65.93   125.01    63.12    35.12    33.32    64.33    54.16    70.33    42.33 
1       42.44    36.35    17.21    36.33    36.53    57.41        0    82.39    77.46    68.88     4.97    56.88    52.29     79.5   100.12     76.5 
2       80.83    79.33   137.56    57.67    62.76    73.14    81.14        0    75.62    34.22    80.46    36.76    45.62    16.29     2.56    31.14 
3       28.34    79.29    65.93    22.17    94.57    97.71    66.86    57.87        0    23.53    90.52    69.91    14.08   104.42    56.02   104.11 
4       66.12    73.71    88.56     48.9    69.16    90.25    82.18    39.93     28.6        0    81.64    49.21    15.83    64.92     40.5     55.9 
5       50.62    21.04    20.27     43.4     27.1    46.44     4.07   107.17    56.23    87.24        0    64.76    86.88    91.04    77.68    104.5 
6       76.76    55.95    98.44    53.27    52.67    37.93    56.68    23.89    63.49    39.59    61.87        0    72.32    27.02    28.29    33.17 
7       48.39    78.98   110.77    22.51    98.59    66.82    75.26    49.32    16.37    13.08    68.92    54.75        0    71.93    54.32    60.17 
8      112.65    77.27   129.66   105.69    71.95    69.87    93.13    22.07       72    50.78    65.28    34.92    68.85        0    19.47    10.16 
9       66.26    95.47    84.95    78.35    65.51     82.9   109.31     1.69    55.68    32.58   103.47    36.15    68.52     21.8        0    19.32 
10      97.37    96.91   123.05    96.54     77.7    63.52     96.8    27.74    84.81    62.29   114.01    33.45    54.23     7.62    27.03        0 
;

param d:       1    2    3    4    5    6 :=
1       0   19    0    0   17    0 
2       0    0    9    0    0    0 
3       7    0    0    0    0    0 
4       5    5   16    0    8    9 
5       0    0    5    0    0    0 
6       0    0    7    0    0    0 
7       0   19    0    0   15   16 
8       0    0   15    0    0    0 
9      12    0    0   18    6   15 
10      0   10    0    0    0    0 
;
