set N := 1 2 3 4 5 6 7 8 9 10 ;
set C := 1 2 3 4 5 6 ;
set K[1] := 1 2 3 ;
set K[2] := 1 2 3 ;
set K[3] := 1 2 3 ;
set K[4] := 1 ;
set K[5] := 1 2 3 ;
set K[6] := 1 2 ;
set o := o1 o2 o3 o4 o5 o6 ;

param Q := 300;

param dist:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8        9       10 :=
o1          0    76.09    87.79    67.53    25.28    82.19    71.55    61.42    90.03     97.6    19.55    45.95    74.99    107.2    91.56    70.52 
o2      76.09        0    46.45    23.43    51.99    15.24    13.83    29.11    62.84    26.24    62.91    31.28    14.42    32.88    58.22    62.68 
o3      87.79    46.45        0     67.5    72.68     32.6    34.05    29.73   108.73    66.96    68.62    60.34    32.23    46.53    12.13   105.06 
o4      67.53    23.43     67.5        0    42.31    38.49    33.47    43.12    41.62    31.88    59.99    23.44    35.73     53.4    78.56    39.25 
o5      25.28    51.99    72.68    42.31        0    60.13    49.69    43.44    69.02    72.41    21.75    21.01    53.25    84.13    79.27    52.23 
o6      82.19    15.24     32.6    38.49    60.13        0    10.64    24.89    77.95     34.9    66.38    41.15     7.29    25.62    44.68    77.68 
1       71.55    13.83    34.05    33.47    49.69    10.64        0    16.29    74.71    39.17    55.88    31.41     3.57    36.03    45.37    71.69 
2       61.42    29.11    29.73    43.12    43.44    24.89    16.29        0    84.51    55.16    43.68    31.01    18.22    50.13    38.27    77.57 
3       90.03    62.84   108.73    41.62    69.02    77.95    74.71    84.51        0    54.48    90.56    58.89    76.57     85.1   120.03    21.79 
4        97.6    26.24    66.96    31.88    72.41     34.9    39.17    55.16    54.48        0     86.9    51.69    38.43    31.31    79.08    63.42 
5       19.55    62.91    68.62    59.99    21.75    66.38    55.88    43.68    90.56     86.9        0    36.59    59.09    91.91    72.03    73.94 
6       45.95    31.28    60.34    23.44    21.01    41.15    31.41    31.01    58.89    51.69    36.59        0    34.92    63.89    69.27     47.9 
7       74.99    14.42    32.23    35.73    53.25     7.29     3.57    18.22    76.57    38.43    59.09    34.92        0    32.87    43.87    74.35 
8       107.2    32.88    46.53     53.4    84.13    25.62    36.03    50.13     85.1    31.31    91.91    63.89    32.87        0    57.69    90.96 
9       91.56    58.22    12.13    78.56    79.27    44.68    45.37    38.27   120.03    79.08    72.03    69.27    43.87    57.69        0   115.32 
10      70.52    62.68   105.06    39.25    52.23    77.68    71.69    77.57    21.79    63.42    73.94     47.9    74.35    90.96   115.32        0 
;

param trav_time:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8        9       10 :=
o1          0    89.55    88.04    68.49    29.37     74.6    66.34    55.54    93.28    79.27     24.8    45.06    80.39    93.53   136.35    92.13 
o2       77.3        0    58.17    34.58    59.28    19.99    15.34     38.6     59.1    26.27    53.62    44.71    16.62    47.16    85.54    55.26 
o3     103.21    46.64        0    94.92    72.72    34.56    36.76    30.67    87.03    77.05    87.55    88.22    40.15    49.69    10.71   114.56 
o4      91.29    32.25    63.81        0    53.25    36.59    50.07    54.17    38.53    38.07    53.46    27.82    46.78    56.38   116.27     42.9 
o5      22.15    50.38    97.65    36.83        0     72.7    59.33    46.88    79.58   108.36    27.21    25.21    47.03    80.94    71.97    58.29 
o6      76.68    13.34    42.21    42.81    56.97        0    13.34    22.06   103.08    39.29    86.22     52.1    10.77    22.19    66.64   101.93 
1       98.55    17.68    36.22    30.25    43.53    11.97        0    16.04    91.52    54.02    54.47    32.38     2.89    40.12    62.63    67.96 
2       56.47     32.9    40.23    37.71    51.03    24.15    19.24        0   111.48    69.34    47.32     28.5    22.82    73.44    43.63    98.71 
3      124.87     85.8   119.04    41.03    75.22    73.82    93.55    85.75        0    44.27    89.22    54.33    94.37   105.62   161.33    23.81 
4       94.38    28.42    89.55    39.49    91.55    32.73    46.24    56.76    61.89        0     72.4    73.11    41.07    35.86   111.83    77.87 
5       20.65     82.6    88.47    53.87    17.56    70.16    65.51    55.46    93.54    75.01        0    31.67    69.38   131.35    81.92    91.88 
6       65.06    31.68    61.83    29.25    26.73     40.7    35.91    42.81     81.3    59.97    50.49        0    50.92     89.4   103.58    45.44 
7       99.87    15.13    26.44    45.06    63.84     9.57     4.71    22.77    95.82    42.61    70.61    32.06        0    34.62    57.11    71.12 
8      146.66    34.76    53.99    51.68   106.44    32.81    34.05    70.65   126.94    26.67   107.11    65.06    48.53        0    74.78   117.83 
9      107.86    73.34    16.39   100.41    94.41    43.64    46.15    36.49   142.83    97.19    58.52     61.2     42.9    70.04        0   161.91 
10     103.98    83.07   103.01    48.86    63.35    84.68    59.86    84.22    17.77    58.71   109.35    63.85    97.88    98.91   139.51        0 
;

param d:       1    2    3    4    5    6 :=
1      10    0   19    0    5    0 
2       0   18    0    0    0    0 
3       0    0    0    8    0    0 
4      11    6    0    0    0    0 
5       0    0    0   11    0    0 
6       0    0    0    0    0   10 
7       0    0    0    0   19    0 
8       0   19    6    0    0    0 
9       0    0    0    0   18    0 
10      0    0    0    0    0   11 
;
