set N := 1 2 3 4 5 6 7 8 9 10 ;
set C := 1 2 3 4 5 6 ;
set K[1] := 1 ;
set K[2] := 1 2 3 ;
set K[3] := 1 2 ;
set K[4] := 1 2 ;
set K[5] := 1 2 ;
set K[6] := 1 2 ;
set o := o1 o2 o3 o4 o5 o6 ;

param Q := 300;

param dist:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8        9       10 :=
o1          0    84.76    44.47    86.26    62.21   112.73    15.36    81.33    25.27    78.71     30.7    11.25    41.27    32.28    89.37     66.6 
o2      84.76        0    83.91    84.76     22.7    50.62    73.39    27.17    59.68     16.9    59.26    75.47    48.73    62.23     75.3    89.21 
o3      44.47    83.91        0    44.52    64.08    89.85    33.09    94.27    47.04    70.34    32.06    36.82     63.3    26.61     51.2    22.26 
o4      86.26    84.76    44.52        0    74.37    64.18    72.11   105.65    79.16    67.88    62.35    76.44    89.51    57.66    13.02    24.98 
o5      62.21     22.7    64.08    74.37        0     60.5    50.71     31.9    37.34    19.88    36.95    52.78    29.35    40.41    67.71    73.12 
o6     112.73    50.62    89.85    64.18     60.5        0    97.88    77.75    91.98     40.9    82.08   101.59    89.39     81.5     51.2    82.11 
1       15.36    73.39    33.09    72.11    50.71    97.88        0    74.17    17.95    65.47     15.9     4.37    36.14    16.93    74.45    54.27 
2       81.33    27.17    94.27   105.65     31.9    77.75    74.17        0    56.94    41.18    64.04    74.73    40.16    68.69    97.94    104.9 
3       25.27    59.68    47.04    79.16    37.34    91.98    17.95    56.94        0    55.05    16.96    17.83    18.19     22.2    78.59    65.74 
4       78.71     16.9    70.34    67.88    19.88     40.9    65.47    41.18    55.05        0    50.02    68.33    49.19    51.74    58.45     73.4 
5        30.7    59.26    32.06    62.35    36.95    82.08     15.9    64.04    16.96    50.02        0    19.51    31.33     5.59    62.47    49.14 
6       11.25    75.47    36.82    76.44    52.78   101.59     4.37    74.73    17.83    68.33    19.51        0    35.75     21.1    78.83    58.29 
7       41.27    48.73     63.3    89.51    29.35    89.39    36.14    40.16    18.19    49.19    31.33    35.75        0     36.9     86.5    79.87 
8       32.28    62.23    26.61    57.66    40.41     81.5    16.93    68.69     22.2    51.74     5.59     21.1     36.9        0    58.55    43.64 
9       89.37     75.3     51.2    13.02    67.71     51.2    74.45    97.94    78.59    58.45    62.47    78.83     86.5    58.55        0    35.09 
10       66.6    89.21    22.26    24.98    73.12    82.11    54.27    104.9    65.74     73.4    49.14    58.29    79.87    43.64    35.09        0 
;

param trav_time:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8        9       10 :=
o1          0   116.24    56.27    81.27    81.39    156.9    15.53    67.93    34.47     93.7    41.22     14.9    36.93    40.55   113.69    91.86 
o2      68.65        0    89.12    90.08    31.06    47.68   100.28    25.02    48.18    21.69    73.68    81.44    61.66    84.54    107.8    95.84 
o3      44.63    89.16        0    58.67    56.55    78.71    43.57    98.02    39.52    81.12    30.29    38.44    67.79    37.37    42.22    31.82 
o4       83.2    90.09    36.17        0    61.06     56.5    63.17   149.58   104.93    68.48    52.92    98.84    83.08    77.61    15.71    34.95 
o5      81.61    21.99    53.09    78.53        0    86.84    64.32    35.66    34.73    17.75    48.99    58.08    25.88    46.85    78.27   107.72 
o6     167.58    51.85    84.08    78.49    53.65        0   134.82    90.35    79.34    52.18    81.75    114.7   132.53    91.66    57.63    71.29 
1       19.56    97.32    31.73    64.85    71.58   132.52        0    88.84     24.8    83.03    22.32     4.97     50.6    16.25    77.59    50.36 
2      121.54    32.55    75.48   134.65    45.92    102.9    80.49        0    75.27    55.19    70.05    74.65    32.58     95.1    83.95   133.91 
3        31.7    61.85    58.99    94.28    42.17     79.5    25.13     58.2        0       64    13.68    16.72    20.74    29.63   107.57    64.84 
4        90.3    20.33    64.67    56.56    20.07     42.5    63.13    55.93    60.43        0    67.13    86.16    53.61    62.66    69.26    98.77 
5       39.55    67.13    28.34    56.38    54.24    93.62    16.28    75.82    20.43    54.42        0    23.22    29.28     7.36    59.04    42.91 
6        12.9   103.95    52.14   108.85    48.91   151.21     5.62    93.17    20.41    55.61    20.83        0    35.01    25.79    92.44    55.24 
7       38.25    61.45    81.76   126.09    36.67    77.06    41.94    48.63    18.79     56.7    31.46    45.89        0    52.83    86.61    66.33 
8       44.82    53.48    25.31    66.15    58.47    84.03    22.13    92.44    24.68    70.67     7.56    25.37    52.74        0    69.72    35.54 
9      116.69   112.74    52.92    11.82    91.38    64.04   111.34   123.05    97.56    65.76    73.47    67.29   111.82    81.07        0    36.94 
10      99.67    74.25       22    37.17    70.26    71.41     54.1   107.97    74.86    67.36    53.25    86.08    96.98    61.94    45.66        0 
;

param d:       1    2    3    4    5    6 :=
1       0    0    0    0   19    0 
2       0   19    0    0    0   13 
3      19    0    0    0    0    0 
4       0    0    0   11    0   14 
5      10    0    0    0    0    0 
6       0    9    0    0    0    0 
7       0   14    0    0    0    0 
8       0    0    0    0    0   17 
9       0   18    0    0    0    0 
10     18    7   17    0   14    6 
;
