set N := 1 2 3 4 5 6 7 8 9 10 ;
set C := 1 2 3 4 5 6 ;
set K[1] := 1 ;
set K[2] := 1 2 3 ;
set K[3] := 1 2 3 ;
set K[4] := 1 ;
set K[5] := 1 2 3 ;
set K[6] := 1 2 3 ;
set o := o1 o2 o3 o4 o5 o6 ;

param Q := 300;

param dist:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8        9       10 :=
o1          0    34.76    56.02     4.06    59.58     59.8    16.27    53.35    18.35    10.03    71.53    23.07    65.89    68.49     39.1      3.2 
o2      34.76        0    23.08    38.75    29.42    33.92    48.35    40.83    31.77    43.76    37.38    11.82    31.18    37.87        5    37.36 
o3      56.02    23.08        0    59.77    31.74    17.89    67.31    35.91    47.45    63.89    16.12    33.36    14.11    15.56    18.09    58.18 
o4       4.06    38.75    59.77        0    63.61    62.92    12.83    55.38    19.66     6.29    75.37    27.01    69.84    71.96    43.03      1.8 
o5      59.58    29.42    31.74    63.61        0    49.56    75.07    64.91    60.85    69.49    33.47     39.5     24.9    44.91    28.58    62.65 
o6       59.8    33.92    17.89    62.92    49.56        0    67.32    21.45    46.26    65.56    26.92    40.25    29.83    13.08    29.57    61.16 
1       16.27    48.35    67.31    12.83    75.07    67.32        0    55.76    21.07     6.66    83.33    36.61    78.69    77.82    52.06    13.08 
2       53.35    40.83    35.91    55.38    64.91    21.45    55.76        0    35.97    56.03    48.06    41.03    49.62    34.41    38.49    53.61 
3       18.35    31.77    47.45    19.66    60.85    46.26    21.07    35.97        0    20.15    63.57    21.62    59.84    56.98    34.31    17.94 
4       10.03    43.76    63.89     6.29    69.49    65.56     6.66    56.03    20.15        0    79.73    31.94     74.6    75.33    47.79     6.87 
5       71.53    37.38    16.12    75.37    33.47    26.92    83.33    48.06    63.57    79.73        0    48.56     8.71    15.65    32.62    73.83 
6       23.07    11.82    33.36    27.01     39.5    40.25    36.61    41.03    21.62    31.94    48.56        0    42.84     46.9    16.04    25.58 
7       65.89    31.18    14.11    69.84     24.9    29.83    78.69    49.62    59.84     74.6     8.71    42.84        0    21.34    26.83     68.4 
8       68.49    37.87    15.56    71.96    44.91    13.08    77.82    34.41    56.98    75.33    15.65     46.9    21.34        0    32.92    70.26 
9        39.1        5    18.09    43.03    28.58    29.57    52.06    38.49    34.31    47.79    32.62    16.04    26.83    32.92        0    41.57 
10        3.2    37.36    58.18      1.8    62.65    61.16    13.08    53.61    17.94     6.87    73.83    25.58     68.4    70.26    41.57        0 
;

param trav_time:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8        9       10 :=
o1          0    35.47     55.9      3.4    86.12    77.46    19.01    54.83    21.63     13.9    75.08    23.67     88.3    65.63    54.14     4.07 
o2      51.49        0    26.27    50.51    31.05    46.03    44.19    43.49    46.62    51.07    52.29    16.25    25.51    50.61     6.99    37.18 
o3      82.01    25.43        0    76.32    34.03    19.21       86    29.14    50.76    93.18    21.45    36.64     20.3    16.15    26.45    54.08 
o4       5.19    33.98    71.96        0     90.3    92.98     17.3    75.91    22.63     6.65    91.61    38.55    67.15     68.6    35.81     2.38 
o5      49.07    38.08    33.02    61.61        0    70.54    70.92       61    77.71    98.56    45.99    43.77    21.07    42.95    32.58    61.92 
o6      68.35    36.22    25.59    88.47    65.81        0    56.95    30.71    52.53    72.07    28.56    49.84    42.79    12.41    28.48    76.72 
1       17.62       44    69.16    17.42    109.3    69.95        0    72.41    25.58     8.18    80.56    41.71    80.69     93.3    48.33    17.63 
2       49.11    47.14    39.46     72.7    91.48     29.2    52.35        0    45.57    83.93    71.62    60.03    49.57    50.05    54.09    74.75 
3       23.26    38.91    39.04    23.31    84.98    51.67    26.69    53.38        0    24.59    63.04    24.88    48.71    57.66    32.93    16.81 
4       12.29    57.78    63.94     7.31     55.6    56.62     6.17    69.75    25.43        0    93.89    41.09     66.8    64.04    48.85     6.18 
5       63.34    34.99    19.06   108.01    42.84    22.33    84.99    67.51    53.52    77.43        0    71.21    11.19    14.33     41.4    79.17 
6       26.99    16.91    37.11    26.91    55.56    41.92    33.86    46.96    18.02    29.93    58.69        0    37.59    50.66    22.03    36.71 
7       86.91    27.06    12.24    58.66     22.8    31.24    89.27    52.45    68.79    66.28    11.42    35.56        0    30.25    25.49    84.46 
8        75.8    32.96    15.79    86.52    61.64    13.36    81.67    38.83    80.96    75.35     15.9     69.4    20.21        0    31.72    66.31 
9       32.54     4.75    16.23    36.36    36.39    42.22    58.04    49.68    45.72     50.7     27.6    21.18    33.36    49.23        0    42.41 
10        3.1    46.35    71.77     1.91    57.54    84.97    12.61     70.7    22.61     6.72   109.12    33.02    76.77   100.65    44.36        0 
;

param d:       1    2    3    4    5    6 :=
1      15    0    0   18    0    6 
2       0    0    0   18    0    0 
3       0    0   16    7   14    0 
4       0    0    0    0    0    7 
5       9    0    0    0    0    0 
6       0    0    0   14    0    6 
7       0    0    0   13    0    0 
8       0    6   13    0    0   13 
9      12   15   16   10   18   19 
10     18    0    9   16   19   11 
;
