set N := 1 2 3 4 5 6 7 8 9 10 ;
set C := 1 2 3 4 5 6 ;
set K[1] := 1 2 3 ;
set K[2] := 1 2 ;
set K[3] := 1 ;
set K[4] := 1 ;
set K[5] := 1 2 ;
set K[6] := 1 2 3 ;
set o := o1 o2 o3 o4 o5 o6 ;

param Q := 300;

param dist:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8        9       10 :=
o1          0     66.9    33.02    49.05    89.85    35.04    75.24    28.15    65.79    51.33    63.57    16.31    28.36    77.44    23.65    54.76 
o2       66.9        0    62.15    66.58    76.09    68.32   106.91     44.7    64.59    79.44     4.79     74.5    41.35    78.86    45.87    31.57 
o3      33.02    62.15        0    16.04    57.88     6.21    49.51    45.95    33.59     21.6    60.98    49.33    25.09    44.45    40.43    36.02 
o4      49.05    66.58    16.04        0    43.21    15.49    40.36    59.79    19.36    13.48    66.54    65.36    36.86     28.5    54.54    36.11 
o5      89.85    76.09    57.88    43.21        0    58.66    60.18    92.04    24.29    50.27    78.72   105.83    68.94    19.09       88    48.75 
o6      35.04    68.32     6.21    15.49    58.66        0    44.03    50.95    34.59     16.9    67.19    51.21    31.02    43.66    45.35    41.57 
1       75.24   106.91    49.51    40.36    60.18    44.03        0    94.92    48.05    28.34    106.9    89.85    74.48    41.64     89.3       76 
2       28.15     44.7    45.95    59.79    92.04    50.95    94.92        0    70.64    67.52    40.46    30.51    23.68     84.9     5.65    46.25 
3       65.79    64.59    33.59    19.36    24.29    34.59    48.05    70.64        0    29.06    65.94     81.9       47    14.94    66.09    33.34 
4       51.33    79.44     21.6    13.48    50.27     16.9    28.34    67.52    29.06        0     79.1    67.22    46.26    32.42    61.98    49.45 
5       63.57     4.79    60.98    66.54    78.72    67.19    106.9    40.46    65.94     79.1        0    70.52    39.01    80.46    41.95    32.62 
6       16.31     74.5    49.33    65.36   105.83    51.21    89.85    30.51     81.9    67.22    70.52        0    41.04    93.74    28.63    68.01 
7       28.36    41.35    25.09    36.86    68.94    31.02    74.48    23.68       47    46.26    39.01    41.04        0    61.22    19.13    26.97 
8       77.44    78.86    44.45     28.5    19.09    43.66    41.64     84.9    14.94    32.42    80.46    93.74    61.22        0    80.14       48 
9       23.65    45.87    40.43    54.54       88    45.35     89.3     5.65    66.09    61.98    41.95    28.63    19.13    80.14        0    43.51 
10      54.76    31.57    36.02    36.11    48.75    41.57       76    46.25    33.34    49.45    32.62    68.01    26.97       48    43.51        0 
;

param trav_time:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8        9       10 :=
o1          0    70.68    29.44    44.93    73.27    29.47    99.94    37.85    69.74    59.51    95.24    17.31    28.76    77.26    26.22    51.65 
o2       87.9        0    65.43       61    91.54    94.33   126.97    57.66    86.13     78.4     5.86    93.41    37.92    99.44    63.22    38.96 
o3      32.58    80.06        0    13.12    71.38     7.06    56.87    54.35    40.32    21.56    51.04    47.44    23.87    63.04    55.34    35.28 
o4      56.31    87.45    16.68        0    55.82    18.48    38.78    68.07    25.32    13.36    56.22    61.95    46.86    39.46    71.51    50.04 
o5     100.44    92.11     66.7     57.9        0    84.19    77.15   126.99    27.68     48.6    84.29   129.22    81.52    24.37    80.73     64.6 
o6      52.55    72.48     6.75    16.57     50.6        0    44.51    65.26    50.63    17.33    99.48    65.24    36.23    44.82     40.9    58.09 
1      100.85   139.62    68.73    49.28    67.06    35.82        0   130.55    69.42    26.88   147.38    80.21    81.86    39.02    93.79   102.26 
2       28.84    58.68    46.55    80.09    98.65    54.81    81.39        0    72.55    62.29     42.1     27.1    21.69    92.34     6.07    40.37 
3       59.99     65.8    36.21    25.79     24.9    42.92    44.31    74.88        0    35.92    87.04    86.76    37.83    13.27    89.12    31.25 
4       76.79   107.23    17.36    13.89    56.68    22.62    33.54    90.79    33.46        0   111.43    77.87    65.41    33.68    58.16    58.43 
5       64.45     6.02    66.15    63.82   106.03    60.25   101.36    37.83    88.34    63.78        0    74.48    53.44   107.59    61.03    33.39 
6       23.16    84.92    67.35    84.67    84.74    44.97    90.49    42.48    78.79    57.66    95.26        0    37.95   103.83    39.39    68.16 
7       39.82    42.69    24.87    32.35    81.15    41.47   100.41    32.73     63.1    52.09     45.3    43.24        0    52.07    21.72    33.44 
8      113.98    71.13    60.71    30.09    18.75    35.59     58.8    84.33    16.41    26.59    96.87    123.2    55.86        0    77.61    46.17 
9       27.09    56.75    33.16     45.9   117.26    50.85    90.44     6.74    84.31    80.76    41.26    38.65    17.82    75.86        0    53.48 
10      67.35    43.01    52.12    46.78    68.24    36.05    84.57    45.73    47.14    68.03    47.86    67.43    35.71    56.59    49.68        0 
;

param d:       1    2    3    4    5    6 :=
1       0   10    0    0    0    0 
2      13    0    5    0   13   17 
3       0    0    0   15    0    0 
4       0    6    0    0    0    0 
5       0    0    0    0    0   15 
6       0   10    0    0    0    0 
7       0   13    5   12    0   10 
8       0    0    8    0    0    0 
9      13   12    0   18   13    0 
10      0    0    0    0    5    0 
;
