set N := 1 2 3 4 5 6 7 8 9 10 ;
set C := 1 2 3 4 5 6 ;
set K[1] := 1 2 ;
set K[2] := 1 2 ;
set K[3] := 1 2 ;
set K[4] := 1 2 3 ;
set K[5] := 1 ;
set K[6] := 1 ;
set o := o1 o2 o3 o4 o5 o6 ;

param Q := 300;

param dist:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8        9       10 :=
o1          0    65.81     6.94    60.21    42.77    64.89    41.66    36.31    17.24     8.07    55.39    56.53    33.62    47.63    55.48    29.59 
o2      65.81        0    63.78   126.01     39.9    88.95    51.39    32.85     51.6    73.82    77.74     13.2    99.14    89.75    71.78    67.79 
o3       6.94    63.78        0    62.79    45.16    58.24    35.16    36.63    12.74    12.83    48.55    55.61    35.56    54.53    48.54    22.81 
o4      60.21   126.01    62.79        0    98.44     90.9    91.76    95.65    75.51    52.24    88.36   116.47    27.35    68.33    92.98    70.66 
o5      42.77     39.9    45.16    98.44        0    94.56    58.18    14.36    38.98    48.97    83.08    26.72    74.39     50.5    79.71    61.99 
o6      64.89    88.95    58.24     90.9    94.56        0    38.56    81.07    57.01    66.97    11.68    89.41     70.4   112.16    17.19    35.49 
1       41.66    51.39    35.16    91.76    58.18    38.56        0    44.03    26.37    47.79    26.95    50.87    65.12    87.15    22.09    21.63 
2       36.31    32.85    36.63    95.65    14.36    81.07    44.03        0     27.6    43.79    69.48    21.23    69.77    58.06    65.79    49.93 
3       17.24     51.6    12.74    75.51    38.98    57.01    26.37     27.6        0    24.88    46.04    44.42    48.22    60.78    44.21    23.04 
4        8.07    73.82    12.83    52.24    48.97    66.97    47.79    43.79    24.88        0    58.39    64.32    25.99     45.4    59.37    32.79 
5       55.39    77.74    48.55    88.36    83.08    11.68    26.95    69.48    46.04    58.39        0    77.82     65.5   102.99     7.04    25.82 
6       56.53     13.2    55.61   116.47    26.72    89.41    50.87    21.23    44.42    64.32    77.82        0    90.15    76.79    72.62    63.71 
7       33.62    99.14    35.56    27.35    74.39     70.4    65.12    69.77    48.22    25.99     65.5    90.15        0    56.28    69.09    44.69 
8       47.63    89.75    54.53    68.33     50.5   112.16    87.15    58.06    60.78     45.4   102.99    76.79    56.28        0   103.02    77.16 
9       55.48    71.78    48.54    92.98    79.71    17.19    22.09    65.79    44.21    59.37     7.04    72.62    69.09   103.02        0    26.65 
10      29.59    67.79    22.81    70.66    61.99    35.49    21.63    49.93    23.04    32.79    25.82    63.71    44.69    77.16    26.65        0 
;

param trav_time:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8        9       10 :=
o1          0    97.87     7.52     67.3    40.83    60.35     48.6    53.32    21.64     6.77    67.04    77.79    45.62    67.15    64.06    38.46 
o2      84.68        0    61.59   138.62    40.07   103.92     61.1    39.17    62.12    94.45    88.76    15.92   102.96     89.4    92.92     64.1 
o3       6.14    60.12        0    52.99    58.78    62.83    41.72    51.28     14.2    12.15    46.52    72.45    52.66    65.94    71.95    29.22 
o4      88.42   179.65    66.47        0   111.24    94.02    102.8    98.16    98.63    59.53    74.21    100.3    30.96    85.74    94.86    83.18 
o5      63.99    50.05     64.8    88.76        0    96.97    47.06    15.16     54.7    52.93    92.01    23.09    60.65    66.39     64.1    83.32 
o6      78.67   131.27    71.43    84.34   126.38        0    32.15   104.64    58.05    96.39    13.73    75.58    79.31   143.57    24.34    38.67 
1        55.9    57.45    31.52    90.37    65.71    50.78        0    38.41    30.04    55.17    25.92     49.4     60.7    76.75    30.44    24.87 
2       51.99    27.83    35.27   117.44    11.86    79.15    61.29        0    28.55    35.67    79.08    27.97    61.22    87.06    83.36    48.57 
3       17.27    48.11    13.25    69.41    48.59    73.02     33.5    32.52        0    31.47    40.57    61.23    55.22    70.01    55.18    23.09 
4        7.73    72.06    14.36    46.45    40.74    64.32    56.42    44.11    27.53        0    75.49    61.57    34.24    40.19     84.9    32.22 
5       44.58    72.53    55.66   129.69   102.96     9.43    25.42    93.59    55.47    65.38        0    83.09    92.76   140.51     8.55    22.84 
6       45.42    18.45    61.97   122.92    27.63    94.04    65.13    18.54    35.96    82.19    81.43        0   134.52   110.84    58.35    85.53 
7        41.2    82.45    42.13    34.13    62.14    61.13    53.18    79.47    49.02    33.13    85.67   115.63        0    79.21    88.33    59.16 
8       42.02   129.93    50.65    61.59    58.87   117.83    125.3    78.17    73.36    47.77   132.09   110.36    81.61        0    91.27   114.08 
9       63.75    58.66    59.31   127.34    78.07    20.77     20.6    70.96    38.03    62.07     7.56   106.86    79.75    85.55        0    24.52 
10      24.08    95.08    32.09    68.17    77.58    28.91       25    43.25    19.42    43.46    33.48    87.58    66.91    73.69    26.86        0 
;

param d:       1    2    3    4    5    6 :=
1      16    0    0    0    0    0 
2       0    0    0   17    0    0 
3       0    0    0   15    0    0 
4       0   10    0    0    8   13 
5       0   16    0    0    0    0 
6       0    0    0   12    0    0 
7       0    0    0   17    0    0 
8       0    0   11   10    0    0 
9      17    0   11   13    5    0 
10     16    0    0    0    0    0 
;
