set N := 1 2 3 4 5 6 7 8 9 10 ;
set C := 1 2 3 4 5 6 ;
set K[1] := 1 ;
set K[2] := 1 2 3 ;
set K[3] := 1 ;
set K[4] := 1 2 3 ;
set K[5] := 1 2 ;
set K[6] := 1 ;
set o := o1 o2 o3 o4 o5 o6 ;

param Q := 300;

param dist:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8        9       10 :=
o1          0    47.27    74.38    97.77    42.03    53.82    22.92    45.27    34.01    22.29    85.53    61.02    65.37    37.39    47.03    90.18 
o2      47.27        0    36.59    61.28    44.71    60.25    33.87    70.95    49.56    66.64    90.73    21.86     19.6    70.83     6.38     96.8 
o3      74.38    36.59        0    24.86    47.22    56.28    53.05    77.29    58.15    87.76    76.57    50.24    39.12    82.75     42.3    82.64 
o4      97.77    61.28    24.86        0    64.97    69.22    75.54    93.04    76.77   108.97    79.75    72.57    60.58   100.64    66.77    85.17 
o5      42.03    44.71    47.22    64.97        0    16.02    21.39    30.27    11.89    45.64    48.63    66.48    62.75    35.87    49.65    54.31 
o6      53.82    60.25    56.28    69.22    16.02        0    36.14    24.79    19.81    51.27    33.02     82.1    77.59    34.96    65.42    38.51 
1       22.92    33.87    53.05    75.54    21.39    36.14        0    38.49    18.67    35.22    69.15    53.43    53.47    37.01    36.62    74.54 
2       45.27    70.95    77.29    93.04    30.27    24.79    38.49        0    21.51    33.13    45.43    91.61    90.21    12.18    74.61    48.64 
3       34.01    49.56    58.15    76.77    11.89    19.81    18.67    21.51        0    34.11       52    70.53    68.73    24.61    53.47    57.02 
4       22.29    66.64    87.76   108.97    45.64    51.27    35.22    33.13    34.11        0    78.21    82.54    85.69    21.65    67.52    81.71 
5       85.53    90.73    76.57    79.75    48.63    33.02    69.15    45.43       52    78.21        0   112.43   106.18    57.58    96.43     6.19 
6       61.02    21.86    50.24    72.57    66.48     82.1    53.43    91.61    70.53    82.54   112.43        0    12.29    90.17    17.06   118.53 
7       65.37     19.6    39.12    60.58    62.75    77.59    53.47    90.21    68.73    85.69   106.18    12.29        0    90.42    18.34   112.35 
8       37.39    70.83    82.75   100.64    35.87    34.96    37.01    12.18    24.61    21.65    57.58    90.17    90.42        0    73.56    60.64 
9       47.03     6.38     42.3    66.77    49.65    65.42    36.62    74.61    53.47    67.52    96.43    17.06    18.34    73.56        0   102.46 
10      90.18     96.8    82.64    85.17    54.31    38.51    74.54    48.64    57.02    81.71     6.19   118.53   112.35    60.64   102.46        0 
;

param trav_time:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8        9       10 :=
o1          0    39.48    81.32    95.05    43.18    65.42    32.04    58.71    41.63    23.71   126.81    75.09    65.95    35.09    40.54   107.95 
o2      48.01        0    34.87    78.92    48.64    84.66    39.71    85.18    54.79    62.34     86.7    21.29    26.25    63.67     7.32    86.53 
o3      72.29     51.9        0    26.75    67.74    75.37    48.94    66.06    83.41   120.05    77.61    40.26    34.17    89.63    58.59    98.07 
o4      95.37    71.77    32.25        0    55.05    72.52   110.45    96.27    108.2   109.82   114.55     82.5    89.21   116.86    96.85    70.16 
o5      47.42    37.04    69.81    97.24        0    16.11       20    28.25    10.83    63.07    45.38    84.88    68.24    42.88    57.17    53.08 
o6      46.29    51.15    81.45    87.98    17.66        0    41.08    34.92    26.59    53.49    32.95    70.37    81.21    51.48    87.66    52.22 
1       20.12    42.49     74.8    94.76    26.17    43.64        0    50.06    16.88    47.42    94.52    72.51    72.49    49.14    43.13     75.3 
2       39.76    98.07    79.47    89.09    42.67    30.43    44.92        0    24.98    31.76    48.03    76.48    75.72    17.47    66.72    63.38 
3       29.65    53.74    68.13   104.55    11.82    23.54    21.21    29.88        0    50.72    53.29    60.87    79.86    25.65    57.62     78.1 
4       29.32     86.6    109.1   135.64    44.81    43.78    28.23     49.4     31.7        0    95.78   102.78    92.32     26.7    60.06   104.77 
5       80.16    81.88    95.78   101.68    45.21    27.63    64.06    51.54    58.08   101.95        0   129.84   129.35    80.34    87.78     8.06 
6       59.11    25.26    69.26    75.86    66.62   120.18    49.78    82.64    90.34    85.98    164.5        0    10.84    74.22    21.83   128.44 
7       75.79    20.16     34.7    48.94    88.65   103.36    54.97   102.56    65.21    82.17   104.55    16.52        0   101.51    23.32   153.67 
8       40.06    60.46    67.05    81.36    33.61    28.47    43.34    17.79    24.15    19.65    54.22    98.75   113.65        0    94.99    62.13 
9       42.03     9.05    41.41    81.18    72.18    63.62    50.91   111.31    61.82    75.74   104.41    22.35    21.33    60.06        0   121.67 
10     132.76    119.6    83.67    126.7    69.66    52.88     94.1    51.27    75.58    96.56     5.61   159.79   153.95    68.91   114.63        0 
;

param d:       1    2    3    4    5    6 :=
1       0   19    0    0    0    0 
2       0    7   11    0    0   11 
3       0    0    0    0    0   15 
4       0    0   14    0    0   11 
5       0   13    0    0    0    0 
6       0    0    0    5    0    0 
7      19    0    0    6   19   10 
8       0    0    6    0    0    0 
9       0    0    0   19    0    0 
10      0    0    0    0   12    0 
;
