set N := 1 2 3 4 5 6 7 8 9 10 ;
set C := 1 2 3 4 5 6 ;
set K[1] := 1 2 ;
set K[2] := 1 ;
set K[3] := 1 2 3 ;
set K[4] := 1 2 ;
set K[5] := 1 ;
set K[6] := 1 2 3 ;
set o := o1 o2 o3 o4 o5 o6 ;

param Q := 300;

param dist:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8        9       10 :=
o1          0     79.7    39.65    36.04     27.6    76.57    42.18    68.66    55.26    69.06     9.66    11.68     30.4    12.16    55.38    90.49 
o2       79.7        0    60.95    53.92    98.67    30.88    46.02    27.31    50.99    12.79    70.66    90.39    97.02    91.19    31.39    61.36 
o3      39.65    60.95        0    50.01    43.49    44.24    15.59    64.94    66.67    55.68    31.54    50.61    69.41    45.48    53.03    98.73 
o4      36.04    53.92    50.01        0    62.77    64.47    39.98    35.08    19.62    41.33    31.29    43.12    43.72    47.93    23.49    54.94 
o5       27.6    98.67    43.49    62.77        0    87.41    54.27    92.83    82.31    89.91    31.84    27.81    49.54     18.6    79.34   117.65 
o6      76.57    30.88    44.24    64.47    87.41        0    34.61     52.7    70.39    36.16    66.93    88.24   101.45    85.83     49.2    89.73 
1       42.18    46.02    15.59    39.98    54.27    34.61        0    49.69    54.16    40.12    32.62    53.85    68.87    51.23    38.35    84.47 
2       68.66    27.31    64.94    35.08    92.83     52.7    49.69        0    25.22    16.74    61.42    77.38    78.28    80.81     13.5    37.41 
3       55.26    50.99    66.67    19.62    82.31    70.39    54.16    25.22        0    38.61    50.91    61.15    56.64    66.88    21.32    35.34 
4       69.06    12.79    55.68    41.33    89.91    36.16    40.12    16.74    38.61        0    60.42    79.31    84.72    80.86    18.61    53.57 
5        9.66    70.66    31.54    31.29    31.84    66.93    32.62    61.42    50.91    60.42        0    21.31    37.89    20.53    47.96    86.21 
6       11.68    90.39    50.61    43.12    27.81    88.24    53.85    77.38    61.15    79.31    21.31        0    22.46     9.31    64.47    95.65 
7        30.4    97.02    69.41    43.72    49.54   101.45    68.87    78.28    56.64    84.72    37.89    22.46        0    31.62    67.21    87.42 
8       12.16    91.19    45.48    47.93     18.6    85.83    51.23    80.81    66.88    80.86    20.53     9.31    31.62        0    67.52   101.93 
9       55.38    31.39    53.03    23.49    79.34     49.2    38.35     13.5    21.32    18.61    47.96    64.47    67.21    67.52        0    46.19 
10      90.49    61.36    98.73    54.94   117.65    89.73    84.47    37.41    35.34    53.57    86.21    95.65    87.42   101.93    46.19        0 
;

param trav_time:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8        9       10 :=
o1          0    79.06    43.97    37.56    40.32    63.06    50.08    88.41    56.82    92.87    13.55    10.37    43.02    18.01    76.16    80.16 
o2      70.77        0    62.94    78.79    90.12    31.64    45.18    24.08       75    15.92    96.65    87.83   122.56    87.73    43.08     90.5 
o3      49.84    89.91        0    50.61    58.58       61    20.91    59.76    93.83    83.52    37.42     47.1    83.04    64.95     50.7    92.44 
o4      33.72    55.21    53.31        0    62.66    73.32    54.27    45.91    23.89    41.31    29.46    54.19    52.07    54.66     21.7    68.77 
o5      41.26   128.65    39.31    72.69        0    92.52    80.04    92.99    98.88   126.34    26.91    40.08    62.26    27.49    87.82    98.28 
o6     102.38    39.28    59.86    90.85   114.18        0    39.55    52.91    60.59    53.67    72.54    97.67   114.08    84.43    40.43   128.33 
1       38.34    60.13    14.12    48.61    71.28     42.2        0    67.03    47.62    35.53    36.55    67.41    96.68    41.14    39.71   117.22 
2       73.12    28.97    70.61    45.81   125.56    48.88    73.13        0     24.4     19.6    56.93    65.29    65.71    76.64    19.74    52.56 
3       71.13    47.65     90.4    27.18   107.85    96.48    68.09    27.86        0    55.51     67.1    65.92    72.04    61.14       23    52.41 
4       91.04    18.42     61.7    47.51   122.67    30.66    39.34    13.41     56.5        0    54.47    92.68    87.14   118.62    16.58    48.86 
5       12.76    64.54    27.98    34.32    35.44    85.34       39    84.94    68.28    88.69        0    24.84    45.71    20.73     43.5     73.3 
6        9.97    80.38    40.79     51.2    28.36   122.63    58.77    109.9    88.16   117.77    29.22        0    32.64     9.61    54.72    90.04 
7       31.27    89.69    87.75    36.48    61.17    84.08    99.58    68.11    55.65   124.66    45.96    19.02        0    38.86    90.12   116.35 
8       16.05    99.44    61.11    60.31    26.66    108.6    75.87   112.32    82.78    101.9    22.11    10.15    30.22        0    85.56   114.93 
9       79.24    25.96    57.09    29.93   113.81    66.34    52.32    18.99    17.37    17.72    62.06    79.43    94.04    73.19        0    37.25 
10     100.36    53.36   132.63    71.89   115.85    84.69   119.68    30.13     33.9     70.7    89.85   143.06    96.27    89.19    50.73        0 
;

param d:       1    2    3    4    5    6 :=
1       0    0    7    0    0    0 
2       0   12    6   15   10    0 
3      18    0    0    0    0    0 
4       0    0    0   10    0    0 
5       0    0    0    0   11    0 
6      10   10   16    0    0    6 
7       9    0    0    0    0   17 
8       0    0    0    7    0    0 
9      10    0    0    0    0    0 
10      0   10    0    0    0    0 
;
