set N := 1 2 3 4 5 6 7 8 9 10 ;
set C := 1 2 3 4 5 6 ;
set K[1] := 1 2 ;
set K[2] := 1 2 ;
set K[3] := 1 2 3 ;
set K[4] := 1 2 3 ;
set K[5] := 1 ;
set K[6] := 1 ;
set o := o1 o2 o3 o4 o5 o6 ;

param Q := 300;

param dist:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8        9       10 :=
o1          0    32.97    28.61     4.76    67.16    38.97    69.64     32.4     9.26     61.5    14.48    58.23    71.42     54.2    57.06    32.09 
o2      32.97        0    49.66    34.32     39.5    71.78    40.17    43.48    35.66    75.92    18.83    25.49    40.81    38.56    73.11    65.06 
o3      28.61    49.66        0    23.86    88.76    44.27    89.82    13.18    37.11    87.44    33.82    70.35    90.41    48.23    82.58    35.86 
o4       4.76    34.32    23.86        0    70.12    38.84     72.3    27.95    13.79    65.84     15.5    59.09    73.83    51.82    61.31    31.36 
o5      67.16     39.5    88.76    70.12        0   102.35     6.01    82.95    65.38    81.49    55.67    32.32    10.66     69.6    81.18    97.39 
o6      38.97    71.78    44.27    38.84   102.35        0    105.8    56.46    37.34     60.3    53.44    97.17   108.23    88.44    55.09      8.5 
1       69.64    40.17    89.82     72.3     6.01    105.8        0     83.2    68.58    87.15    57.41    29.02     4.67    67.33     86.7   100.51 
2        32.4    43.48    13.18    27.95    82.95    56.46     83.2        0    41.65    93.78    31.67    60.95    83.19    35.26    89.22    47.96 
3        9.26    35.66    37.11    13.79    65.38    37.34    68.58    41.65        0    52.26    19.51    61.11    70.91    61.93    47.87    32.01 
4        61.5    75.92    87.44    65.84    81.49     60.3    87.15    93.78    52.26        0    68.26    96.41    91.41    111.1     5.24    63.05 
5       14.48    18.83    33.82     15.5    55.67    53.44    57.41    31.67    19.51    68.26        0    43.82    58.68    43.24    64.47    46.42 
6       58.23    25.49    70.35    59.09    32.32    97.17    29.02    60.95    61.11    96.41    43.82        0    26.64    38.89    94.41    90.24 
7       71.42    40.81    90.41    73.83    10.66   108.23     4.67    83.19    70.91    91.41    58.68    26.64        0    65.42    90.84   102.68 
8        54.2    38.56    48.23    51.82     69.6    88.44    67.33    35.26    61.93    111.1    43.24    38.89    65.42        0   107.53    80.09 
9       57.06    73.11    82.58    61.31    81.18    55.09     86.7    89.22    47.87     5.24    64.47    94.41    90.84   107.53        0    57.81 
10      32.09    65.06    35.86    31.36    97.39      8.5   100.51    47.96    32.01    63.05    46.42    90.24   102.68    80.09    57.81        0 
;

param trav_time:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8        9       10 :=
o1          0    26.52    37.98     3.92    55.01    36.25    69.89    38.61    12.19    79.15    20.01       74    64.82    46.14    62.56    40.87 
o2      42.47        0    66.48    29.97    50.23   100.45    57.81    63.04    52.36     98.2    26.18    27.32    38.08    54.71   106.63    86.48 
o3      32.69    61.82        0    20.48   109.66    65.14    72.71     17.7    34.02    95.99     37.7   101.26    92.26    69.17    109.3    46.96 
o4       4.93    47.78    27.93        0       79     50.4    90.91    29.34    13.29     94.7    16.23     72.3    86.91    69.63    74.08    38.72 
o5     100.63    55.26    99.13    85.68        0   100.28     6.62     67.4    70.68    94.09    67.55    40.59    14.55    65.25    110.2   101.48 
o6      44.03    94.79    42.39    51.18   127.58        0   149.84    53.34    38.06    65.91    76.39    88.95   153.44    83.96    56.61     8.08 
1       76.83    44.24   105.57    76.38     4.99   101.25        0    78.87    72.72    82.76     82.8    36.16     4.46    79.36   123.95    88.34 
2       47.55    34.79    17.43    32.76    90.99    78.56    68.21        0    41.01   121.87    46.17    49.99   119.53    50.02   133.78    58.91 
3        9.24    35.75    47.61    20.07    91.98    51.17    96.37     46.8        0    53.99    26.88    91.23   104.33    66.72    68.77    35.37 
4        77.6   109.82   125.09    65.44   106.02    75.82      102    88.14    72.06        0    80.95    96.42    92.38    94.55     5.17    91.86 
5       18.86    28.08    46.57    23.23    65.11    44.07    70.06    33.04    20.46    82.35        0     42.3     53.4    34.73    89.47    59.73 
6       52.73    27.17    91.41    53.24    41.83    88.95    39.79    63.37    72.27   132.41    48.61        0    36.39     55.7   131.91   122.87 
7       88.17    36.75    92.97   100.18    11.38   145.23     5.95    81.01   104.55    95.39    84.56    25.47        0    52.78    86.75   144.59 
8       75.95    49.89    59.16    59.04    62.88    92.43    83.51    38.31    91.17   111.98    61.73     50.6    66.56        0   153.69   101.57 
9        77.2    96.42    69.25    82.78   101.95    45.48    97.81   108.44    63.73     5.23    56.97   125.45    74.93   148.72        0     86.4 
10      42.14    63.05    48.89    29.83   105.81    10.38   101.84     43.6    46.26    83.75    62.74   115.33    103.3    79.13    62.04        0 
;

param d:       1    2    3    4    5    6 :=
1      14    0    0    0    0   16 
2       0    0    8    0    0    0 
3      18    0    0    0    0    0 
4      18    0    0    0    0    0 
5       0    0   16   12    0    0 
6      19   11    0   10   19    0 
7       0    0   16    0    0    0 
8       0   12    0    7    7    0 
9       0    0    0    0    0   15 
10      0    9    0    0    0    8 
;
