set N := 1 2 3 4 5 6 7 8 9 10 ;
set C := 1 2 3 4 5 6 ;
set K[1] := 1 2 ;
set K[2] := 1 ;
set K[3] := 1 2 3 ;
set K[4] := 1 2 ;
set K[5] := 1 2 ;
set K[6] := 1 2 3 ;
set o := o1 o2 o3 o4 o5 o6 ;

param Q := 300;

param dist:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8        9       10 :=
o1          0    50.33    31.05     57.7    41.88    39.99    26.61    80.73    46.16    49.66    43.25    23.11     7.86    26.49    60.42    36.43 
o2      50.33        0    67.78    90.93    19.84    86.55    67.52    92.11    89.76    58.01    56.84    55.23    55.19    24.05   109.45    28.03 
o3      31.05    67.78        0    82.62    51.26    55.84    52.28   110.84    64.75     80.7    25.82    12.57     23.5    45.88    66.49    64.12 
o4       57.7    90.93    82.62        0    92.84    31.91    31.28    40.69    23.17    40.52   100.66    79.37     62.1    74.42    48.04    63.49 
o5      41.88    19.84    51.26    92.84        0     81.5    64.95   102.09    86.63    66.87    37.22    39.16    44.22    18.42   102.21    36.82 
o6      39.99    86.55    55.84    31.91     81.5        0     20.3    70.28     9.49    55.49       78    56.24    40.58    64.53    24.52    63.94 
1       26.61    67.52    52.28    31.28    64.95     20.3        0    60.34    22.25    37.75    69.37    48.13    30.85       47    44.76    43.76 
2       80.73    92.11   110.84    40.69   102.09    70.28    60.34        0    62.83    35.23   122.33   103.78    87.58    85.43    88.72    65.59 
3       46.16    89.76    64.75    23.17    86.63     9.49    22.25    62.83        0    52.26     86.1    64.28    47.93    68.98    27.31     65.3 
4       49.66    58.01     80.7    40.52    66.87    55.49    37.75    35.23    52.26        0     88.7    71.86    57.27     50.3    79.19    30.63 
5       43.25    56.84    25.82   100.66    37.22       78    69.37   122.33     86.1     88.7        0    21.81    38.71    41.99    91.57    64.34 
6       23.11    55.23    12.57    79.37    39.16    56.24    48.13   103.78    64.28    71.86    21.81        0    17.28    33.46    71.04    52.62 
7        7.86    55.19     23.5     62.1    44.22    40.58    30.85    87.58    47.93    57.27    38.71    17.28        0    31.14    58.58    43.81 
8       26.49    24.05    45.88    74.42    18.42    64.53       47    85.43    68.98     50.3    41.99    33.46    31.14        0    86.46    22.57 
9       60.42   109.45    66.49    48.04   102.21    24.52    44.76    88.72    27.31    79.19    91.57    71.04    58.58    86.46        0    88.14 
10      36.43    28.03    64.12    63.49    36.82    63.94    43.76    65.59     65.3    30.63    64.34    52.62    43.81    22.57    88.14        0 
;

param trav_time:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8        9       10 :=
o1          0     40.7    26.99    59.76    37.69     44.7    35.23   101.12    60.32     63.9    53.14    26.01     6.99    26.42    69.79    52.77 
o2      55.24        0    95.64   102.82    21.29   129.23    60.57    78.57     76.4    64.77    62.74    70.23    80.57    32.41   141.81    25.23 
o3      29.11    101.2        0    84.19    42.74    47.04    69.23   161.79    69.63   110.07    26.68    13.48    22.36    43.57    97.33    62.68 
o4      67.56    76.49   118.95        0   100.21    27.95    45.07    50.41    20.17    39.27    90.53    87.11    79.58    86.46    59.48    92.55 
o5      48.34     20.5    73.82   119.01        0   105.62    58.68   140.61    73.38    72.28    32.28    57.64    54.88    16.41   133.12    55.18 
o6      32.06   122.99    76.36    28.54    80.12        0    30.42    68.84    12.66    49.83   116.97     77.9    49.43    64.96    31.85    87.37 
1       29.63    88.17    67.13    30.58    67.82    27.78        0    49.64    28.68    52.01    77.51    71.48       29    40.27    61.19    36.97 
2       81.78    90.03   132.34     54.3   126.33    60.71    68.42        0    74.04    38.25   117.71    94.42   111.05    70.79   131.38    74.43 
3       43.83   125.35    79.06    25.38       99      8.5    26.96     88.4        0    77.49   116.94    53.88    41.83    60.18    35.17    66.41 
4       51.95    52.53    68.69    33.42    69.34    66.17    39.21    46.86    64.36        0   104.65   105.21    83.39    65.46    74.25    29.64 
5       45.08    68.95    32.71   139.21    50.01    71.65   100.14    98.41   107.88    87.46        0    23.74    57.48    42.68   101.49    57.79 
6       19.83     48.5    10.13   113.68    36.42    82.36    59.22   123.14    77.62    66.94    18.01        0    20.35    46.79    90.18    58.02 
7       10.62    55.45    35.08    59.29    40.13    48.89    34.95   109.45    43.62    64.96       31    14.45        0    35.52    77.25    47.96 
8          30    24.12    68.46   107.06    24.36    77.06    38.35    116.3    87.74    62.66    47.97    28.59    38.01        0    98.09    33.13 
9       49.12   122.32    81.98     61.2   137.75    32.68    55.54    80.83    38.94   104.14    86.14     72.9    58.62    94.81        0   115.35 
10      35.72     35.9     83.6    92.03    47.77    91.26    46.82    95.18    96.08    27.88    95.88    44.48    48.07    21.97   108.71        0 
;

param d:       1    2    3    4    5    6 :=
1      12    9    7   16    0    0 
2       0    0    0    0    0    5 
3       0   12   19   14    7    0 
4       0    0    0    0   19    0 
5       0    0    0    0    0   18 
6       0    0    0    9    0    0 
7       0   10    0    0    0    0 
8       0    5    0    0    0    0 
9       0    0    0    8    0    0 
10     18    0    0    0    0    0 
;
