set N := 1 2 3 4 5 6 7 8 9 10 ;
set C := 1 2 3 4 5 6 ;
set K[1] := 1 2 ;
set K[2] := 1 2 3 ;
set K[3] := 1 2 3 ;
set K[4] := 1 2 3 ;
set K[5] := 1 2 ;
set K[6] := 1 2 3 ;
set o := o1 o2 o3 o4 o5 o6 ;

param Q := 300;

param dist:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8        9       10 :=
o1          0    65.66    46.42    16.61    72.13    28.56    32.93    47.28    11.49    58.45     65.8    73.23    71.13    17.29    14.72     43.6 
o2      65.66        0   108.75    74.79   130.53    58.48    52.65    36.09    76.08    89.41     1.49     73.5    85.51    80.31    56.84    92.62 
o3      46.42   108.75        0    49.55    27.26     71.8    77.64    80.83    40.98    53.15   109.19     85.3    73.68     41.9    60.49     28.8 
o4      16.61    74.79    49.55        0    76.75    23.28    29.93     62.2     9.88    73.36    74.64    89.84    87.29     7.85    17.95     55.4 
o5      72.13   130.53    27.26    76.75        0    98.67   104.26    98.98    67.93    57.18   131.16    92.45    77.33    69.14    86.64    39.49 
o6      28.56    58.48     71.8    23.28    98.67        0     7.02    57.45    30.83    85.19    57.97    93.12    94.85    31.06    14.85    72.14 
1       32.93    52.65    77.64    29.93   104.26     7.02        0    55.22     36.8    87.41    52.04    92.64    95.65     37.6    18.31    76.05 
2       47.28    36.09    80.83     62.2    98.98    57.45    55.22        0    58.72    53.45    37.23    40.98     50.3    64.54    47.08    59.72 
3       11.49    76.08    40.98     9.88    67.93    30.83     36.8    58.72        0    64.14    76.13    82.72    78.94      6.2    20.92    45.55 
4       58.45    89.41    53.15    73.36    57.18    85.19    87.41    53.45    64.14        0    90.48     35.3    20.82    69.57    70.35    24.63 
5        65.8     1.49   109.19    74.64   131.16    57.97    52.04    37.23    76.13    90.48        0    74.88    86.79    80.27    56.71    93.38 
6       73.23     73.5     85.3    89.84    92.45    93.12    92.64    40.98    82.72     35.3    74.88        0    17.27    88.89    79.81    56.82 
7       71.13    85.51    73.68    87.29    77.33    94.85    95.65     50.3    78.94    20.82    86.79    17.27        0    84.85     80.5    44.92 
8       17.29    80.31     41.9     7.85    69.14    31.06     37.6    64.54      6.2    69.57    80.27    88.89    84.85        0     23.9    49.96 
9       14.72    56.84    60.49    17.95    86.64    14.85    18.31    47.08    20.92    70.35    56.71    79.81     80.5     23.9        0    57.79 
10       43.6    92.62     28.8     55.4    39.49    72.14    76.05    59.72    45.55    24.63    93.38    56.82    44.92    49.96    57.79        0 
;

param trav_time:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8        9       10 :=
o1          0    71.84    56.12    21.91   103.25    35.27    35.04    56.97    13.98    63.59    76.54    61.81    84.98    21.82    19.32    44.93 
o2      71.64        0   100.95    97.19    118.1    81.61     77.5    34.36    111.5   123.88     1.29    67.77       89    89.64    83.71   134.91 
o3      57.64   120.61        0    60.86     32.8    94.52    79.19   101.17    56.61    51.09   118.25   122.02    81.39     54.6    71.67    27.29 
o4      23.18    77.86    50.92        0    91.56    24.87    34.11    80.23     9.92    96.22    65.02     98.8   117.38        8    16.92    65.31 
o5      97.25   150.86    29.61    62.07        0   134.19    98.78   137.44    85.28    75.59   158.69    80.38    92.86    59.67    97.76    40.48 
o6      33.89    73.83    69.55    30.94    83.36        0     5.74    47.08    40.16    106.2     68.6   134.58    91.27    29.91    17.97    74.36 
1       27.09    49.72   115.93    44.15   123.17     6.64        0    49.21     31.7    72.94    51.26    89.83   121.88     35.9    27.05   102.17 
2       61.34    36.66    85.28    91.56   143.68    73.24    54.39        0    78.26    77.41    39.53    34.68    56.73    77.49    55.65    56.21 
3       12.29    74.89    57.74     13.9    68.59    29.66    45.16    76.98        0    68.69   103.01    78.59    87.49     6.76    19.14    43.79 
4          68    103.7    51.88    85.95    64.55   113.53    130.1    49.51    86.07        0   128.99    40.87    22.62    59.18    89.55     20.5 
5       62.87     2.07   127.98    60.57   194.35    50.31    56.87    46.07    90.71    85.53        0   104.58    73.16    72.66    74.87   103.59 
6       68.57   104.39     87.4    97.78    75.26   114.44   108.25    54.42    82.49    50.56    78.06        0    25.37   107.58    97.31    78.99 
7       102.7    73.58    66.36   103.46    64.51    93.31   122.93    41.25    67.51    30.03   113.09    17.64        0   126.62    82.59    60.65 
8       22.39    92.36    50.63    10.23    94.07    42.58    56.38    78.55     8.68    90.77    81.97   123.17   126.76        0    35.61    65.69 
9       18.07    83.23    65.86    21.04   124.79    13.29    15.33    39.58    17.37    99.74    61.56    92.83    96.96    33.21        0    78.67 
10      48.64   121.69    35.48    70.14    58.98    97.78   108.28    59.25    59.97    33.47     87.7    53.03    39.36    40.88    55.34        0 
;

param d:       1    2    3    4    5    6 :=
1       0    7    0    0    0   15 
2       0   14    0    0    0    0 
3      16   17    0   10    0   10 
4       9    0    0    0    0    0 
5       0    0    0    0   14    0 
6       0    9    0    0    0    0 
7       0    0    0   11    0    0 
8       0    0   19    0    0    0 
9       0    0    0    0    0    6 
10      0    9   17    0   11    0 
;
