set N := 1 2 3 4 5 6 7 8 9 10 ;
set C := 1 2 3 4 5 6 ;
set K[1] := 1 ;
set K[2] := 1 2 ;
set K[3] := 1 ;
set K[4] := 1 2 3 ;
set K[5] := 1 2 ;
set K[6] := 1 ;
set o := o1 o2 o3 o4 o5 o6 ;

param Q := 300;

param dist:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8        9       10 :=
o1          0    89.98    76.12    46.64    48.77    65.74    78.61     34.2    45.95   121.99    37.73     41.2    57.91     70.6    78.91    30.18 
o2      89.98        0    29.51    75.93    68.25    84.91     14.9    55.96    66.88    55.78    92.89    52.98    43.42    23.82     21.9    63.26 
o3      76.12    29.51        0    49.84    42.04    55.99    15.76    43.58    41.57    47.39    68.78    34.94    50.46       36     41.5    46.11 
o4      46.64    75.93    49.84        0     7.81    20.06    61.13    37.67     9.25    86.27    20.18    29.05     68.4    68.12    77.03    27.78 
o5      48.77    68.25    42.04     7.81        0    22.75    53.42    33.78     3.45    79.57    27.38    23.66    63.07    61.33    70.12    25.23 
o6      65.74    84.91    55.99    20.06    22.75        0    70.15    56.47    26.08    81.76    32.29    46.31    85.53    82.01     90.4    47.33 
1       78.61     14.9    15.76    61.13    53.42    70.15        0    44.44    52.14    53.72    78.47    39.56    40.56    22.87    26.59    50.35 
2        34.2    55.96    43.58    37.67    33.78    56.47    44.44        0     30.4    90.74    45.24    11.97    32.07     38.5    47.43     10.9 
3       45.95    66.88    41.57     9.25     3.45    26.08    52.14     30.4        0    80.74    27.25    20.54    60.01    58.94    67.82    21.78 
4      121.99    55.78    47.39    86.27    79.57    81.76    53.72    90.74    80.74        0   106.42    81.09    94.28    76.05    77.13    91.84 
5       37.73    92.89    68.78    20.18    27.38    32.29    78.47    45.24    27.25   106.42        0    41.29    77.28    81.45    90.57    34.39 
6        41.2    52.98    34.94    29.05    23.66    46.31    39.56    11.97    20.54    81.09    41.29        0    39.47    40.24    49.35    11.21 
7       57.91    43.42    50.46     68.4    63.07    85.53    40.56    32.07    60.01    94.28    77.28    39.47        0    19.61    24.39    42.97 
8        70.6    23.82       36    68.12    61.33    82.01    22.87     38.5    58.94    76.05    81.45    40.24    19.61        0     9.13     48.1 
9       78.91     21.9     41.5    77.03    70.12     90.4    26.59    47.43    67.82    77.13    90.57    49.35    24.39     9.13        0    57.18 
10      30.18    63.26    46.11    27.78    25.23    47.33    50.35     10.9    21.78    91.84    34.39    11.21    42.97     48.1    57.18        0 
;

param trav_time:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8        9       10 :=
o1          0    92.52    79.55    52.65    65.26    63.24   105.19    50.89    57.09   177.94    39.39    42.43    48.03   102.59   114.96    42.69 
o2     123.02        0    38.13    96.69    72.85    73.05    21.15    80.12    56.32    56.56    88.63    57.74    63.98    25.35    29.83    63.85 
o3      62.37    41.81        0    48.48    52.47    69.25    19.77    35.22    53.48    41.94    82.09    43.93    62.18    45.43     33.9    65.01 
o4      41.73   109.34    60.95        0     7.25    21.32    53.39    41.09     9.35   108.03    20.93    28.45    57.33    94.77    92.67    23.96 
o5      46.49    76.62    34.04     7.74        0    34.02    54.31    34.43     3.41    77.23    24.62    22.23    56.93     69.5    91.57    31.51 
o6       82.5   115.33    49.11    16.73    29.88        0    89.04    82.12    24.14     66.1    44.91    49.55   106.69    77.44   107.18    68.52 
1          70     18.6    19.19    58.08     74.5   100.46        0    56.24    74.83    43.17   102.97    34.07    51.03    23.61    23.61    53.42 
2       46.03    54.31    50.95    43.27    35.57    70.64    42.88        0    25.34    76.89    51.72    12.82    38.32    32.37    44.14     13.5 
3       65.27     73.6    38.14    13.75     2.92    37.27    77.47    27.29        0    86.01    38.38    19.71    56.71    70.41    64.04    23.22 
4      156.09    52.05    70.59   101.73    76.76    76.06    55.63   132.85    97.64        0    85.82    74.25    94.96    92.85    83.38   105.66 
5       43.92   102.08    62.04    17.72    27.69    45.86   116.77    58.97    34.05   131.86        0    40.57    78.46    66.84   111.41    30.21 
6       51.18    51.83    34.11    30.36    26.37    44.89    38.72    13.56    28.77   102.03    59.97        0    52.27    57.75    39.99     10.1 
7        56.8    51.35    48.94    99.23    58.37   113.79    44.88    47.28    50.75   137.83    84.09    57.59        0    17.22    33.38    53.23 
8       59.75    34.49     48.1     58.8    86.14    71.89    22.06    41.97    64.52   113.98    77.07    34.92    22.31        0    11.06    46.05 
9        84.4    31.92    53.14    78.34   102.56     78.1    21.84    50.53    97.62     83.3    74.62    70.18    32.59    10.46        0    80.62 
10      35.19    85.11    48.04    27.62    30.67    41.14    57.24    12.02    18.61    98.93    48.49     9.89    61.98    44.49    52.77        0 
;

param d:       1    2    3    4    5    6 :=
1       0    0    0    0    0   14 
2       0    0    0   15    0    0 
3      16    0   16    0    0    0 
4       0    0    0    0    0    7 
5       0    0    0   18    0    0 
6       0    6   10    0   19    0 
7       0    0    8    0    0    0 
8      18    0    0    0    0    0 
9       0    0    0   18   13   14 
10     18   15    0   16    0    0 
;
