set N := 1 2 3 4 5 6 7 8 9 10 ;
set C := 1 2 3 4 5 6 ;
set K[1] := 1 2 3 ;
set K[2] := 1 ;
set K[3] := 1 2 ;
set K[4] := 1 2 ;
set K[5] := 1 ;
set K[6] := 1 ;
set o := o1 o2 o3 o4 o5 o6 ;

param Q := 300;

param dist:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8        9       10 :=
o1          0    54.24    40.92       26    42.55    29.24    63.64    72.04    26.29       91    77.11    97.57    14.65    79.58    60.73    41.55 
o2      54.24        0    26.38    58.18    17.97    25.89     16.8    50.01    31.21    53.09    73.03    50.87    47.13    44.26      7.6    70.28 
o3      40.92    26.38        0    56.48     8.62    25.18    26.05    70.92    30.96    78.66    89.05    77.23    41.47    68.95    33.82    71.92 
o4         26    58.18    56.48        0    54.14    33.96    72.36    55.26    27.74    78.42    53.52    89.34    15.49    67.31    62.35    16.24 
o5      42.55    17.97     8.62    54.14        0     20.7    21.23    62.89    26.96    70.04    82.15    68.83    40.04    60.38    25.51    68.79 
o6      29.24    25.89    25.18    33.96     20.7        0    38.55    50.62      6.3    64.81    65.02    69.15    21.36    53.72    31.77    48.15 
1       63.64     16.8    26.05    72.36    21.23    38.55        0    65.69    44.65    64.64    89.63       58     59.6     57.5    19.21     85.6 
2       72.04    50.01    70.92    55.26    62.89    50.62    65.69        0    48.85    25.66    27.56    41.82    57.67    17.35    46.59    55.05 
3       26.29    31.21    30.96    27.74    26.96      6.3    44.65    48.85        0    65.32    60.86    71.28    16.06    53.99    36.46    41.85 
4          91    53.09    78.66    78.42    70.04    64.81    64.64    25.66    65.32        0    49.84    18.49    77.64    11.43    46.71    80.21 
5       77.11    73.03    89.05    53.52    82.15    65.02    89.63    27.56    60.86    49.84        0    67.76    62.79    44.29    71.27    45.24 
6       97.57    50.87    77.23    89.34    68.83    69.15       58    41.82    71.28    18.49    67.76        0    85.62    24.61    43.42    93.72 
7       14.65    47.13    41.47    15.49    40.04    21.36     59.6    57.67    16.06    77.64    62.79    85.62        0    66.21    52.52    31.65 
8       79.58    44.26    68.95    67.31    60.38    53.72     57.5    17.35    53.99    11.43    44.29    24.61    66.21        0    38.67    69.94 
9       60.73      7.6    33.82    62.35    25.51    31.77    19.21    46.59    36.46    46.71    71.27    43.42    52.52    38.67        0    73.28 
10      41.55    70.28    71.92    16.24    68.79    48.15     85.6    55.05    41.85    80.21    45.24    93.72    31.65    69.94    73.28        0 
;

param trav_time:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8        9       10 :=
o1          0    55.53    56.06    34.37    34.19    36.35    63.07    81.63     30.6   116.53    68.91    93.14    14.21   105.81    78.87    35.81 
o2      61.73        0    26.21    63.43    17.15    34.71    17.88    74.62    27.56    56.37   105.53    66.87    64.65    52.13     8.48   105.04 
o3      55.49    31.46        0    51.27     8.47    23.99    35.14    93.12     45.4     98.4    75.47   102.37     35.9    57.05    48.87    93.29 
o4      34.97    79.52     50.1        0    69.65    47.28    102.3    78.83    31.95    85.76    76.28   124.48    12.54    87.75    78.27    23.99 
o5      39.94    21.27     11.8    62.04        0    16.71    23.05    53.91    34.66    83.52    84.62    70.43    38.47    74.95     27.6    74.86 
o6      29.48    34.76    31.13    41.04    21.58        0     37.8    55.07        9    54.46     91.8    73.67    23.16     50.8    46.07    57.49 
1          93    20.34     38.4    68.46    25.86    37.31        0    90.94    41.19    66.78      122    50.36    64.78    83.63    23.74   107.72 
2       92.15    70.27    68.19    69.66    86.33    64.63    83.89        0    39.48    30.36    38.82    43.69    76.45    19.94    57.15    48.97 
3       32.35     42.1     43.2    24.38     28.2     9.08    61.81     72.7        0    85.63    59.87    81.97    14.34    63.76    36.95       52 
4       82.23    45.72    65.58    116.2   102.86    60.63     78.2    26.19    74.84        0    62.14    27.33   102.75    12.47    45.91    84.76 
5       84.05    100.1   102.74     45.9   113.96     87.4   125.83    22.95    89.43    65.58        0    78.76     79.9    66.42    58.52    59.93 
6      113.66     68.3    73.32   117.28    89.66     61.2    57.53    43.82    76.42    18.09     58.6        0    93.53    22.64    46.49     88.3 
7       19.67     39.6    50.15    18.35    59.78    19.77    56.82    60.38    18.17    89.41    66.61    95.89        0     97.3    48.17    40.62 
8       92.62    65.89    87.83    80.93    83.15     59.3    65.75    25.26    51.27    14.57     50.3    35.74    98.53        0    53.73    66.12 
9       80.17     7.81    49.25    83.11     36.5    35.38     25.1    48.03       41     59.4   102.83    61.23       71    50.45        0     78.2 
10      36.52    86.35   107.16    15.38     71.6    60.95    84.92    58.89    57.24    97.28    67.53    90.93    36.19    75.82    79.66        0 
;

param d:       1    2    3    4    5    6 :=
1       0    0    0    0   19    0 
2       0    0   18    0    0    0 
3       0    0    0    8    0    0 
4       0    0    0    0   18    0 
5       0   13    0   11    0    0 
6       9    0    0    0    0    0 
7       0    0    0    0   13    0 
8       0    0    0    0   16    0 
9       0    0    0    0    0   14 
10     12    0   13    0    8   15 
;
