set N := 1 2 3 4 5 6 7 8 9 10 ;
set C := 1 2 3 4 5 6 ;
set K[1] := 1 2 3 ;
set K[2] := 1 2 ;
set K[3] := 1 ;
set K[4] := 1 2 3 ;
set K[5] := 1 2 3 ;
set K[6] := 1 2 ;
set o := o1 o2 o3 o4 o5 o6 ;

param Q := 300;

param dist:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8        9       10 :=
o1          0    73.72    48.19    76.16    52.71    37.29    21.46    50.45    38.24    31.94    65.74    42.36    17.74    35.32    45.73    55.52 
o2      73.72        0    29.88    36.21    48.95     42.9    53.94    83.42     46.1    44.15    37.58    37.48    89.14    64.91     29.3    41.57 
o3      48.19    29.88        0    31.12     23.6    30.92    32.78    54.58    16.26     16.3    23.28     7.61    61.52    52.77      5.8    18.58 
o4      76.16    36.21    31.12        0    27.87    61.33    63.58    62.07    38.14    45.21    10.94    34.46    86.23    83.73    36.32    21.76 
o5      52.71    48.95     23.6    27.87        0       51    46.24    35.83    16.22    27.15    17.21    19.66    59.96    69.85    28.73     7.68 
o6      37.29     42.9    30.92    61.33       51        0    16.06    70.99    36.13    25.24    54.21    31.54    54.91    22.97    25.26    48.32 
1       21.46    53.94    32.78    63.58    46.24    16.06        0    58.62    30.03    19.38    54.47    29.54    38.93    24.24    28.58    46.03 
2       50.45    83.42    54.58    62.07    35.83    70.99    58.62        0    39.03    47.04    52.35    47.58    45.87    81.67     57.7    43.47 
3       38.24     46.1    16.26    38.14    16.22    36.13    30.03    39.03        0    11.22    27.54     8.76    48.47    53.79    18.69    17.34 
4       31.94    44.15     16.3    45.21    27.15    25.24    19.38    47.04    11.22        0    35.51    10.76    45.46     42.7    14.87    26.67 
5       65.74    37.58    23.28    10.94    17.21    54.21    54.47    52.35    27.54    35.51        0    24.94    75.36    75.86    28.98    10.83 
6       42.36    37.48     7.61    34.46    19.66    31.54    29.54    47.58     8.76    10.76    24.94        0    54.69    51.67    10.24    17.03 
7       17.74    89.14    61.52    86.23    59.96    54.91    38.93    45.87    48.47    45.46    75.36    54.69        0    51.58    60.18    64.59 
8       35.32    64.91    52.77    83.73    69.85    22.97    24.24    81.67    53.79     42.7    75.86    51.67    51.58        0    47.41    68.68 
9       45.73     29.3      5.8    36.32    28.73    25.26    28.58     57.7    18.69    14.87    28.98    10.24    60.18    47.41        0    24.22 
10      55.52    41.57    18.58    21.76     7.68    48.32    46.03    43.47    17.34    26.67    10.83    17.03    64.59    68.68    24.22        0 
;

param trav_time:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8        9       10 :=
o1          0   108.43    38.77   112.43    66.55    48.83    18.19    47.04       31    38.31    71.78    55.49     24.1    30.75    42.43     63.4 
o2      69.59        0       41    48.76    52.35    47.99     64.4     72.8    50.22    44.79    52.95    36.31   114.11    86.49    25.83    60.83 
o3      62.59    32.37        0    42.86     24.2    45.95     27.5    60.97    19.57    16.59    20.33     7.05    50.22    78.01     7.02    24.65 
o4      110.1    32.81    32.83        0    26.09    57.41    89.19       56    32.99    55.71    13.51    45.19    114.4   122.53    44.95    18.91 
o5      47.07    68.21    20.82    41.14        0    72.27    57.41    38.19    15.19    32.26    22.73    28.91    82.62    87.84    42.37    10.07 
o6      46.41    57.06    25.31    78.98    59.43        0    19.14    74.39     49.7    31.06    70.25    31.97    72.45    23.08    35.26    60.37 
1       28.54    63.18    41.84    54.04    42.25    17.53        0    86.56    29.25     18.4    65.86    37.19    31.17    29.99    27.87    62.34 
2       44.17   121.52    75.68    66.23     47.9    81.55       57        0    37.12    39.99    78.29     51.1    64.08    76.95    71.29    39.16 
3       54.49    66.83     23.1    46.66    19.85    36.59    30.47    57.02        0    10.81    27.43    11.44    60.59    73.84    17.91     23.4 
4       29.86     37.2    22.82    62.76    21.91    22.33    25.04    42.45    10.95        0    40.56    14.17    55.16    60.83    13.69    28.67 
5       58.73    47.07    23.06    13.77    15.08    58.03    73.34    68.02    36.21    52.17        0    31.75    76.96   110.87    42.72     10.5 
6       55.83       43     7.53    38.99    27.11    30.22    24.88    39.59    12.67     9.36    22.36        0    75.97    73.64     8.87     17.1 
7       17.53    93.33     73.8   116.49    81.93    57.08    57.62    66.04    55.19    68.09    69.43     72.5        0    45.09    59.27    88.96 
8       50.28    55.89    48.37    89.62    97.55    32.96    32.47   105.89    49.86    49.11    94.22    45.98    64.62        0    53.12    93.61 
9       45.69    36.78     7.77    50.32     30.2    37.65    40.32    60.12    21.92    20.86    30.46     14.2    87.99    47.17        0    22.76 
10      82.27    39.67    17.21    22.78      7.5    57.18    64.97    44.85    17.69    24.44    12.82    17.33    72.68    55.52    30.76        0 
;

param d:       1    2    3    4    5    6 :=
1       0    0    0    0    0   14 
2       0    0   18   19   18    9 
3       0    0    0    0   16    0 
4       0    0    0    0    0   14 
5      10    0    0    0    0    0 
6       7    0    0    0    0    0 
7      16   18   10   14    0   11 
8       0    0    5   11    0   13 
9       8   15    0   15   12   19 
10      0    0    0   17    0    0 
;
