set N := 1 2 3 4 5 6 7 8 9 10 ;
set C := 1 2 3 4 5 6 ;
set K[1] := 1 2 ;
set K[2] := 1 ;
set K[3] := 1 2 ;
set K[4] := 1 ;
set K[5] := 1 2 3 ;
set K[6] := 1 2 3 ;
set o := o1 o2 o3 o4 o5 o6 ;

param Q := 300;

param dist:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8        9       10 :=
o1          0    70.12     4.88    34.98    76.14    43.81    43.36    47.81    17.63    28.78    35.79    37.54     18.4    79.25    43.43    13.56 
o2      70.12        0    65.32    92.93     88.5    67.44    65.39    79.37    57.35    96.73     43.3    34.64    81.11     9.65    28.05    73.33 
o3       4.88    65.32        0    36.99    74.17    43.06    42.39    46.57    13.54    33.48    31.28    32.67     21.9    74.41    38.84     14.3 
o4      34.98    92.93    36.99        0    57.76    78.56    78.23    29.75    36.98    43.67    50.06    58.46    46.67    100.6    71.01       23 
o5      76.14     88.5    74.17    57.76        0   114.05    112.8    29.52    62.74    97.79    56.07     66.7    94.02     91.3    83.13    63.99 
o6      43.81    67.44    43.06    78.56   114.05        0     2.05    88.58    51.65    50.45    60.61    53.21    35.79    76.72    43.08    57.08 
1       43.36    65.39    42.39    78.23    112.8     2.05        0     87.6    50.57    51.21    59.07    51.49    36.21    74.68    41.12    56.52 
2       47.81    79.37    46.57    29.75    29.52    88.58     87.6        0    37.18    68.27    38.03    49.13    65.14    85.03    65.26    34.98 
3       17.63    57.35    13.54    36.98    62.74    51.65    50.57    37.18        0    46.17    18.48    22.85    35.44    65.79    34.03    15.99 
4       28.78    96.73    33.48    43.67    97.79    50.45    51.21    68.27    46.17        0    64.53    65.88     16.6   106.17    68.93    35.42 
5       35.79     43.3    31.28    50.06    56.07    60.61    59.07    38.03    18.48    64.53        0    11.21    52.69    50.58    27.71    33.14 
6       37.54    34.64    32.67    58.46     66.7    53.21    51.49    49.13    22.85    65.88    11.21        0    52.04    42.95    16.57    38.83 
7        18.4    81.11     21.9    46.67    94.02    35.79    36.21    65.14    35.44     16.6    52.69    52.04        0    90.65    53.11    30.16 
8       79.25     9.65    74.41    100.6     91.3    76.72    74.68    85.03    65.79   106.17    50.58    42.95    90.65        0    37.65    81.77 
9       43.43    28.05    38.84    71.01    83.13    43.08    41.12    65.26    34.03    68.93    27.71    16.57    53.11    37.65        0    49.19 
10      13.56    73.33     14.3       23    63.99    57.08    56.52    34.98    15.99    35.42    33.14    38.83    30.16    81.77    49.19        0 
;

param trav_time:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8        9       10 :=
o1          0   102.87     4.34    51.43    89.16    60.72    54.14    66.52    25.83    34.91     45.3    43.49    19.29   107.75     50.1    11.44 
o2      98.65        0    83.87   120.82   101.78    91.35    92.85    86.49    62.27    81.49    55.15    46.89       72     8.62    28.02    99.72 
o3       5.86    73.85        0    53.26    84.13    39.45     39.6    58.73    18.06    30.07    35.11    28.49    30.21       66    32.48     13.5 
o4      35.65   108.07     54.4        0    77.61   108.78    96.36    25.12    43.26    53.48    63.58    82.67     48.4   148.84    71.95    32.74 
o5      85.55    73.12     73.6    81.68        0   167.86     91.1    24.09     74.2   108.84     61.3    84.88   108.27   103.07    86.43    66.12 
o6      45.03       66    44.05   104.78    91.29        0     2.42    97.87    54.06    43.93    78.82    44.03    50.31   100.85    51.98    66.89 
1       44.54    65.34    49.56    79.89   153.04     2.17        0   124.31    64.88    66.66    52.72    73.29    45.96   108.24    47.76    51.71 
2       70.29   103.26    39.88    39.52     24.8    85.87    88.95        0    48.92    94.96    33.22    56.51    52.75    76.51     70.7    36.64 
3       18.58     61.4    14.17    31.28    61.84    48.74    66.11    43.22        0    53.38    23.24    28.67    42.02    67.72    41.23    14.35 
4       28.86      108    44.86     52.1    86.35    51.82    51.02    92.88    47.21        0    83.97    89.34    19.97   131.82    65.44    51.57 
5       33.68    41.99     30.8    44.29    73.98    70.96    72.22    36.87    21.32    89.92        0    15.32    47.04    56.37     31.3    47.57 
6       45.95     44.3    47.44    60.76    56.95    45.46     56.6    54.83    18.95    88.42    12.12        0    62.73    34.64    22.72    32.76 
7       25.15    84.95    24.08    63.44    85.56     37.9     37.5    57.74    44.57     15.3    60.02    42.86        0    98.12    54.37    36.49 
8      105.56     11.8    79.54    97.44    85.56    89.86   108.74   116.06    76.36    93.23       50    48.99    82.56        0    41.95    77.52 
9       47.59    36.05    51.27    58.77    78.84    61.23    60.96    91.94       49    98.79    25.11    19.85    70.54     51.5        0    40.76 
10      19.83   104.16     21.3    20.73    70.15     65.2    63.27    44.36    15.71    46.61    48.62    34.93    38.09    69.87    43.77        0 
;

param d:       1    2    3    4    5    6 :=
1       0    0    0    0    0   15 
2       0    0    8    0    0    0 
3       0    7    0    5    0    0 
4       0    0   10    0    8    7 
5       0    0    0    0   11    0 
6       0    0   10    0    0    0 
7       0   16    0    0   17    0 
8       7    0    0   16    0    0 
9       0   12    0    0    9    0 
10      0    0    0    0   13    0 
;
