set N := 1 2 3 4 5 6 7 8 9 10 ;
set C := 1 2 3 4 5 6 ;
set K[1] := 1 ;
set K[2] := 1 2 ;
set K[3] := 1 2 3 ;
set K[4] := 1 2 ;
set K[5] := 1 ;
set K[6] := 1 2 ;
set o := o1 o2 o3 o4 o5 o6 ;

param Q := 300;

param dist:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8        9       10 :=
o1          0    85.39    89.51    81.88    23.16    85.28   105.22    36.88     73.6    83.91    72.54    70.71    75.13    38.28    57.22   106.02 
o2      85.39        0    39.08    44.75    85.52    46.35     28.1    49.99    19.14     9.31    13.07    83.24    22.54    71.71    28.85    35.11 
o3      89.51    39.08        0    81.57    99.22     9.85    27.87    54.28     53.4    29.82    41.81    55.05    58.02     59.9    49.89    21.95 
o4      81.88    44.75    81.57        0    69.89    86.72    71.93    60.59    28.24    52.87    39.95   112.38    23.56    88.78    39.28     79.7 
o5      23.16    85.52    99.22    69.89        0    97.05   109.53     45.2    69.85    86.56    72.53    90.87    69.89    57.79    56.86   112.27 
o6      85.28    46.35     9.85    86.72    97.05        0    37.72    51.86    58.53    37.07     46.8    45.37    63.27    53.07    52.13    31.54 
1      105.22     28.1    27.87    71.93   109.53    37.72        0    68.34    47.21    23.35    38.85    82.61    50.61    82.33    53.31     9.45 
2       36.88    49.99    54.28    60.59     45.2    51.86    68.34        0    42.32    47.41    37.86    55.64    45.36    28.22    24.69    69.34 
3        73.6    19.14     53.4    28.24    69.85    58.53    47.21    42.32        0    25.59    11.73    87.44     4.77    68.65    17.64    53.75 
4       83.91     9.31    29.82    52.87    86.56    37.07    23.35    47.41    25.59        0    15.72    75.17    29.75     66.3    30.01     28.5 
5       72.54    13.07    41.81    39.95    72.53     46.8    38.85    37.86    11.73    15.72        0    77.39    16.47    61.64    15.78    44.18 
6       70.71    83.24    55.05   112.38    90.87    45.37    82.61    55.64    87.44    75.17    77.39        0    91.88    33.08     73.1     76.9 
7       75.13    22.54    58.02    23.56    69.89    63.27    50.61    45.36     4.77    29.75    16.47    91.88        0    72.26    20.81    57.54 
8       38.28    71.71     59.9    88.78    57.79    53.07    82.33    28.22    68.65     66.3    61.64    33.08    72.26        0    51.52    80.14 
9       57.22    28.85    49.89    39.28    56.86    52.13    53.31    24.69    17.64    30.01    15.78     73.1    20.81    51.52        0    57.35 
10     106.02    35.11    21.95     79.7   112.27    31.54     9.45    69.34    53.75     28.5    44.18     76.9    57.54    80.14    57.35        0 
;

param trav_time:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8        9       10 :=
o1          0    97.82   111.51   122.77    22.74     73.9    94.85    52.88    97.26   121.51    68.57    80.96    71.16    55.49    55.73   146.77 
o2     122.27        0    43.92    57.31   100.46    64.65    32.18    43.43    27.24    10.06    18.46    92.28    30.49    97.81    24.63    31.28 
o3     126.04    53.51        0   122.06   105.72    12.55    31.41    78.44    47.58    26.29    48.81    49.05    62.78     88.7    67.17     20.1 
o4      92.99     63.3    73.88        0    69.45    70.69    93.07    59.43    33.22    78.85    41.12    94.26    29.49    74.35    54.32    76.99 
o5      30.19   101.93     84.5    87.72        0    144.5   128.63    42.01    79.21    72.36    97.06   102.55   104.29    60.05    62.73   118.33 
o6       70.2    55.48    10.39   107.01   109.37        0    38.16    71.64    67.83    43.47    59.72    41.66     80.6    60.71    42.19    46.89 
1      117.06    25.61    33.23       93   104.86    41.29        0     62.5     57.4    33.37    48.68    84.43    49.61    97.12    69.15     8.09 
2       31.83    59.16    56.66    70.89    45.56     47.7    100.8        0    43.49    40.33     45.7    78.59    65.94    33.66    33.04    79.65 
3       78.16    27.03    73.06    38.89    79.86    64.36    44.09    37.08        0    37.54     17.2   104.97     4.82    73.66    24.53    43.31 
4      109.02    11.14    44.63    68.42   113.99    40.42    23.44    45.35    35.94        0    14.76    67.64    27.07    90.12    45.01    27.86 
5          82    15.81    42.58    58.92    86.61    53.89    50.84    33.61    13.27    20.14        0    98.87    14.17    49.71    13.85    61.34 
6       85.08    93.09    58.59   139.31    79.88    56.67   113.18    79.61   115.81    60.17    94.58        0   126.79    49.44    68.48     90.9 
7        77.9     20.3    73.26    28.51    60.49    69.41    64.42    53.03     4.43    38.29    22.88    77.94        0   102.41    28.39    82.67 
8       44.65    81.15     85.3   100.25    82.81    78.59    87.42    40.68    98.68    76.65    61.79    47.92   106.25        0    49.41    79.94 
9       75.07    29.88    67.53    57.62    53.68    73.07    74.18    30.79    14.56    41.73    18.07   102.93    25.65     64.1        0    54.02 
10     149.92    41.04    22.18    74.94   111.07    30.14    13.21    62.07    69.46    36.64    59.23    77.01    76.49   119.02    83.37        0 
;

param d:       1    2    3    4    5    6 :=
1       0    0    0    0    0   16 
2       0    0    0    0   12    0 
3       8   18   13    8    0    0 
4      18    0    8   11   11    9 
5       7   11    0    5   10    0 
6       0    0    0    0   10    0 
7       0    0    5   15    9   18 
8       0    0   13    0    0    0 
9       0   11    0    0    0    0 
10      6    0    0    0    0    0 
;
