set N := 1 2 3 4 5 6 7 8 9 10 ;
set C := 1 2 3 4 5 6 ;
set K[1] := 1 ;
set K[2] := 1 ;
set K[3] := 1 2 3 ;
set K[4] := 1 ;
set K[5] := 1 2 ;
set K[6] := 1 ;
set o := o1 o2 o3 o4 o5 o6 ;

param Q := 300;

param dist:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8        9       10 :=
o1          0     37.2   111.69     5.52    54.03    69.21    94.46    57.41    99.32     66.6    15.22    98.66    56.46     91.5    63.53     56.4 
o2       37.2        0    74.48    37.91    36.75    33.17    79.95    34.27    72.55    50.07    23.81    61.46    25.29    65.77    42.07    19.82 
o3     111.69    74.48        0   112.09    80.48    45.26    97.64    72.11    65.47    83.87     97.8    13.23    61.87    66.84    74.13    55.86 
o4       5.52    37.91   112.09        0    50.69    70.66    90.11    54.71    96.45    70.99    18.27     99.2    55.06    88.53    60.42    56.39 
o5      54.03    36.75    80.48    50.69        0    56.26    43.74     8.37    46.13    86.34    49.53    70.26    21.35     38.1    10.08    34.75 
o6      69.21    33.17    45.26    70.66    56.26        0    91.62    49.37    71.14    44.52    54.44    32.15    35.21     67.2    55.59    21.58 
1       94.46    79.95    97.64    90.11    43.74    91.62        0    45.98     34.4   128.24    92.59    92.29    58.59    30.91    38.26    72.51 
2       57.41    34.27    72.11    54.71     8.37    49.37    45.98        0    41.94    82.38    50.76    61.93    14.16    34.21      7.8    28.24 
3       99.32    72.55    65.47    96.45    46.13    71.14     34.4    41.94        0   113.61    92.18    62.49    47.27     8.08    36.13    57.63 
4        66.6    50.07    83.87    70.99    86.34    44.52   128.24    82.38   113.61        0    53.33    72.34     69.9   108.53    90.01    56.75 
5       15.22    23.81     97.8    18.27    49.53    54.44    92.59    50.76    92.18    53.33        0    84.66    46.45    84.74    57.86     43.6 
6       98.66    61.46    13.23     99.2    70.26    32.15    92.29    61.93    62.49    72.34    84.66        0    50.55    62.27    64.92    43.23 
7       56.46    25.29    61.87    55.06    21.35    35.21    58.59    14.16    47.27     69.9    46.45    50.55        0    40.66    20.84    14.21 
8        91.5    65.77    66.84    88.53     38.1     67.2    30.91    34.21     8.08   108.53    84.74    62.27    40.66        0    28.14    51.99 
9       63.53    42.07    74.13    60.42    10.08    55.59    38.26      7.8    36.13    90.01    57.86    64.92    20.84    28.14        0    35.05 
10       56.4    19.82    55.86    56.39    34.75    21.58    72.51    28.24    57.63    56.75     43.6    43.23    14.21    51.99    35.05        0 
;

param trav_time:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8        9       10 :=
o1          0    48.49    95.13     7.69    62.59    68.81   110.31    45.98   144.11    95.54    13.39   136.05    57.32   117.03    52.66    76.36 
o2      45.53        0    71.32    35.73     42.7    48.09    67.91    42.25    78.42    61.46    22.52    87.34    37.68    82.87    35.09    18.28 
o3     115.58    89.66        0   140.84     84.6    63.92     86.6    83.67    57.11    84.24   122.77    19.75    74.44    77.02    60.89    50.44 
o4       5.67    43.32    134.6        0    55.29    81.84   113.49    73.66   131.63    93.41    18.71   101.71    77.12    98.91    70.54    70.71 
o5      50.58    30.68    95.34    51.73        0    71.09    62.64    11.35    55.56    72.54    39.81   102.41    28.36    43.85    12.62    42.95 
o6       60.2     41.4    48.58   100.57    83.21        0   119.39    61.06    84.95    43.24    48.86    30.25    45.28    95.39    76.68    29.02 
1       92.63   109.89   128.56    95.54    36.13   135.23        0    63.69    38.93    168.6     85.1   128.42     81.9    39.93    55.46    97.12 
2          64    34.38    96.05    49.69     9.06    73.99    62.74        0    37.77   113.26    66.09    80.55    16.39    35.17     7.41    42.07 
3       86.18     71.3    79.43    98.06    56.94    93.02    27.97    54.25        0   151.01   129.41    79.02    59.86     8.52    33.36    72.72 
4       63.38    52.49    80.95    60.21    119.1    62.62    102.7   110.71   166.86        0    47.19    82.51    64.41   142.06   120.38    56.56 
5       17.22    34.47    83.26    24.84    56.64    57.16    84.17    48.28   105.31    69.06        0    74.54    65.54    87.87    65.44    52.38 
6      122.22    49.75    12.99   125.44    71.43    27.95    89.37    64.47    84.95    93.39   117.59        0    61.57    53.61    55.31    59.71 
7       79.24    33.03     77.3    81.39    25.55    44.65    65.65    18.57     68.6    83.51    58.33    58.57        0    60.16    25.45    12.89 
8       97.65    85.87    80.15    97.69    54.85    84.91    30.81    33.02    10.11    95.37    77.43    63.42     58.2        0    29.29    62.04 
9       64.72    51.95    78.79    67.29    12.34    67.82    33.57    10.42    30.31    125.3    47.96    79.06    19.31    40.36        0     28.7 
10      83.92    25.42    50.29    47.02    45.24     18.2    95.35    37.46    85.69    79.64    37.28    56.79    13.76     63.9    30.24        0 
;

param d:       1    2    3    4    5    6 :=
1       9    0    0    0    0    0 
2       0    0   12    0    0    0 
3       0    0    0    0    0   13 
4       0    0    0    0   18    0 
5       0    0    0   18    0    0 
6       0    0    0   12    0    0 
7       0   17    0    0    0    0 
8       0    0    0   19    0    0 
9       0    0    0   16    0    0 
10      0    0   16    0    0    0 
;
