set N := 1 2 3 4 5 6 7 8 9 10 ;
set C := 1 2 3 4 5 6 ;
set K[1] := 1 ;
set K[2] := 1 ;
set K[3] := 1 2 3 ;
set K[4] := 1 2 ;
set K[5] := 1 2 ;
set K[6] := 1 2 ;
set o := o1 o2 o3 o4 o5 o6 ;

param Q := 300;

param dist:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8        9       10 :=
o1          0    27.57    49.18    55.01    56.68    66.43     53.7    48.89    21.37    73.62    68.62    21.91    33.94     7.03     3.52     56.1 
o2      27.57        0    27.12    28.22    41.02    39.81    44.91    45.08    47.21    63.21    41.28    35.74    52.59    34.25    30.77    38.97 
o3      49.18    27.12        0    32.17    59.98    22.23    67.84    70.07    63.52    83.52    27.94    62.39    78.93    54.29    51.43    56.99 
o4      55.01    28.22    32.17        0    31.94    25.11    43.34    48.91    75.34    54.77    21.45    56.32    72.77    61.93     58.4    28.54 
o5      56.68    41.02    59.98    31.94        0    57.03    13.58    22.06    77.71    23.55     52.8    45.37    57.61    63.24    60.06     3.43 
o6      66.43    39.81    22.23    25.11    57.03        0    68.24    73.17    83.46     79.6     7.17     74.6    91.57    72.48    69.25    53.63 
1        53.7    44.91    67.84    43.34    13.58    68.24        0     9.23    73.52    19.94    64.71    37.91     47.3    59.52    56.75    16.61 
2       48.89    45.08    70.07    48.91    22.06    73.17     9.23        0    67.57    26.11    70.35    30.81     38.5    54.09    51.66    24.68 
3       21.37    47.21    63.52    75.34    77.71    83.46    73.52    67.57        0    93.21    86.72    37.31    41.25    14.51    17.87     77.3 
4       73.62    63.21    83.52    54.77    23.55     79.6    19.94    26.11    93.21        0    74.71    56.87    63.62    79.34    76.64    26.66 
5       68.62    41.28    27.94    21.45     52.8     7.17    64.71    70.35    86.72    74.71        0    74.73    91.61    74.99    71.63    49.36 
6       21.91    35.74    62.39    56.32    45.37     74.6    37.91    30.81    37.31    56.87    74.73        0    16.98    25.07    23.58    46.08 
7       33.94    52.59    78.93    72.77    57.61    91.57     47.3     38.5    41.25    63.62    91.61    16.98        0    33.85    34.05    59.04 
8        7.03    34.25    54.29    61.93    63.24    72.48    59.52    54.09    14.51    79.34    74.99    25.07    33.85        0     3.55    62.79 
9        3.52    30.77    51.43     58.4    60.06    69.25    56.75    51.66    17.87    76.64    71.63    23.58    34.05     3.55        0    59.53 
10       56.1    38.97    56.99    28.54     3.43    53.63    16.61    24.68     77.3    26.66    49.36    46.08    59.04    62.79    59.53        0 
;

param trav_time:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8        9       10 :=
o1          0    23.35    42.89    47.66    68.68     57.1    69.16    48.26    20.61    75.42   100.29    32.07    33.46     9.26     4.43    78.01 
o2      27.87        0    30.47    37.22    35.15    53.04    53.99    43.47    60.69    88.87    41.52    47.54     78.5    39.64     40.8    46.26 
o3       61.1    22.69        0    42.48    66.83    22.33    67.46    79.09    75.24    79.19    38.54    87.69    97.31    79.42    71.55    59.73 
o4      59.96    24.57    31.12        0     44.5    37.48    56.05    51.85    77.91    44.44    31.27    64.96    64.16    66.97    81.64    28.59 
o5      66.64    47.95    71.85    31.82        0    78.38    13.93    30.28    67.83    34.46    54.98    59.24    76.42    87.85    60.73      4.3 
o6      82.37    35.22    20.07     30.6    80.75        0    92.53    74.47   103.04    75.43      6.6    94.44    75.11    80.78   101.23    70.57 
1       73.34    42.45    66.39    41.33    13.44    96.28        0    13.41    97.05    23.55    51.91    33.53    52.19    87.76     64.6    24.59 
2       57.37    51.69    82.85    47.56    27.44    78.65    10.42        0     91.4    26.22    62.95    36.12    48.39    67.92       66    34.09 
3       28.71    47.81    94.46   103.36   101.86    73.98    93.77    54.87        0   133.89   107.29    37.22    47.34    21.28    15.92   107.57 
4      110.36    81.28   100.61     75.1    32.19   117.09    25.35    35.66   102.97        0    91.17    68.07    66.49    76.56    101.8    34.84 
5       55.75    47.82    29.13    30.63    48.11    10.09    55.21    61.25   115.09     93.6        0   104.06     89.8    80.86    81.56    46.92 
6       23.69    50.27    61.85    80.73    62.53    61.84    54.38    43.57    45.87     50.9    69.49        0       19    29.93    19.02    66.12 
7       45.67    76.89   100.73    94.48    74.83   120.26    54.79    35.82    40.06    91.61   125.12    25.31        0    45.69    28.43    48.59 
8        8.83    34.08    64.88    56.44    80.85    78.16    82.21     72.8    17.61     78.3    80.26    35.25    38.72        0     4.26    65.94 
9        5.11    33.95    76.05    85.07    57.61     94.5    76.68    51.02    20.64    75.35    98.47    24.39    47.06     4.57        0    53.11 
10      68.04    38.95    82.74    30.63     4.56    58.36    14.18    32.52    69.75    26.04    63.09    63.65    50.06    65.83    82.64        0 
;

param d:       1    2    3    4    5    6 :=
1      12    0    0    0    0    0 
2       0    9    0    0    0    0 
3      16    0    0    9    0    0 
4       0    0    0    0   13    0 
5      10    0    0    0    0    0 
6       0    0   16    0    0    0 
7       0   16    0   14   18   17 
8       6    0    8    0    8    0 
9       8    0    0    0    0    0 
10     14    0    0    0    0   17 
;
